OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,RatePer10K,Shape__Area,Shape__Length
1,27006,147.0,3.0,14872,Advance,,98.8434642280796,1744189234.37061,355282.663136038
2,27007,34.0,0.0,2136,Ararat,,159.176029962547,592499585.594238,195922.003442792
3,27009,18.0,0.0,2937,Belews Creek,,61.2870275791624,618093097.011353,191244.647442635
4,27011,92.0,1.0,5411,Boonville,,170.024025133986,1489580093.86462,316910.589814884
5,27012,467.0,12.0,28954,Clemmons,,161.290322580645,1176567385.86804,255774.303165276
6,27013,115.0,4.0,6495,Cleveland,,177.059276366436,2066336247.98627,379169.285246239
7,27014,10.0,0.0,957,Cooleemee,,104.493207941484,21479098.032959,22299.1178929161
8,27016,23.0,0.0,1682,Danbury,,136.741973840666,1068209590.0686,211061.413302457
9,27017,235.0,1.0,9499,Dobson,,247.394462575008,2962951682.04883,566348.974052304
10,27018,137.0,2.0,8221,East Bend,,166.6463933828,2331567909.96985,255811.974556888
11,27019,44.0,1.0,4234,Germanton,,103.920642418517,977414017.819214,270248.259734795
12,27020,150.0,2.0,6104,Hamptonville,,245.740498034076,2114111622.36755,316969.486887135
13,27021,197.0,1.0,17979,King,,109.572278769676,1469376476.14172,210392.900707099
14,27022,15.0,0.0,1512,Lawsonville,,99.2063492063492,918745327.278442,200803.000966771
15,27023,176.0,1.0,12775,Lewisville,,137.769080234834,807172159.002075,183078.980128527
16,27024,27.0,1.0,2683,Lowgap,,100.633619083116,1265827411.39758,278411.484773322
17,27025,305.0,2.0,11117,Madison,,274.354592066205,2714649364.33142,468723.596670606
18,27027,69.0,0.0,4017,Mayodan,,171.76997759522,548179131.574585,172371.363079245
19,27028,482.0,3.0,28039,Mocksville,,171.9034202361,5475621774.30664,567238.136149725
20,27030,744.0,13.0,37641,Mount Airy,,197.656810392923,4824085732.75671,624989.724929863
21,27040,143.0,1.0,13150,Pfafftown,,108.745247148289,763349953.536133,205025.773716105
22,27041,92.0,0.0,8020,Pilot Mountain,,114.713216957606,1629462738.40637,324677.141569035
23,27042,18.0,1.0,720,Pine Hall,,250.0,290758639.069458,113971.243586081
24,27043,96.0,1.0,6442,Pinnacle,,149.022042843837,1935795027.06067,395674.180712496
25,27045,189.0,3.0,9583,Rural Hall,,197.224251278305,666085549.25769,154538.589918543
26,27046,24.0,1.0,1953,Sandy Ridge,,122.887864823349,1237681699.0647,217125.573744555
27,27047,13.0,0.0,1279,Siloam,,101.641907740422,576295820.815674,144984.839113672
28,27048,146.0,1.0,8902,Stoneville,,164.008088070097,2355000804.03674,325454.766660313
29,27050,40.0,0.0,4084,Tobaccoville,,97.9431929480901,703876500.567505,219088.1792708
30,27051,115.0,1.0,8287,Walkertown,,138.771569928804,524680317.775635,151066.808563308
31,27052,129.0,0.0,10061,Walnut Cove,,128.217870986979,2710320219.82117,403203.611044297
32,27053,22.0,0.0,3156,Westfield,,69.7084917617237,2152815477.55933,413464.446930882
33,27054,53.0,0.0,2608,Woodleaf,,203.220858895706,778193820.583862,201172.963339102
34,27055,357.0,2.0,14521,Yadkinville,,245.850836719234,3115987965.39453,403366.49229781
35,27101,351.0,12.0,24321,Winston Salem,,144.319723695572,356085731.400146,162957.922513793
36,27103,668.0,17.0,36071,Winston Salem,,185.1903190929,527249856.672729,146399.561156354
37,27104,499.0,11.0,29383,Winston Salem,,169.826089915938,337669863.683838,130394.134288752
38,27105,1102.0,9.0,40186,Winston Salem,,274.224854426915,950547784.577881,208375.813794777
39,27106,926.0,10.0,51378,Winston Salem,,180.232784460275,787324720.967285,203893.681115083
40,27107,1283.0,15.0,52432,Winston Salem,,244.697894415624,1859279716.41162,319111.813640457
41,27127,868.0,6.0,38510,Winston Salem,,225.396001038691,820319160.873047,213438.375685158
42,27157,10.0,0.0,5,Winston Salem,,,827769.094482422,4216.57245655308
43,27203,819.0,19.0,21876,Asheboro,,374.382885353812,589408161.410522,188062.356665824
44,27205,750.0,12.0,34549,Asheboro,,217.082983588526,6255653514.79199,588011.232518038
45,27207,99.0,1.0,3806,Bear Creek,,260.115606936416,2300194678.82397,473699.237818467
46,27208,46.0,0.0,1691,Bennett,,272.028385570668,1029479783.1405,215638.108979383
47,27209,327.0,21.0,4151,Biscoe,,787.76198506384,1198089302.20734,259108.004034657
48,27212,174.0,0.0,1600,Blanch,,1087.5,1328181375.12305,277007.39975067
49,27214,176.0,1.0,11747,Browns Summit,,149.825487358475,1414533235.94788,324969.092830869
50,27215,929.0,8.0,44892,Burlington,,206.941103091865,1827823774.30115,298200.358945539
51,27217,1628.0,40.0,39111,Burlington,,416.251182531769,3473433663.33496,513818.51476852
52,27229,222.0,7.0,4014,Candor,,553.064275037369,2747739848.89313,367384.611313313
53,27231,21.0,0.0,2048,Cedar Grove,,102.5390625,987771348.581177,209108.769362036
54,27233,26.0,0.0,3647,Climax,,71.2914724431039,703252829.253662,187154.002103638
55,27235,73.0,0.0,4575,Colfax,,159.562841530055,380654027.583252,148521.339190303
56,27239,133.0,3.0,9629,Denton,,138.124415827189,4319759872.9696,429373.198159064
57,27242,57.0,0.0,2668,Eagle Springs,,213.643178410795,1480408484.01825,321391.030328654
58,27243,70.0,1.0,4665,Efland,,150.05359056806,1142332751.10315,311755.144165646
59,27244,262.0,2.0,16259,Elon,,161.141521618796,1541989025.453,399696.340130384
60,27248,70.0,2.0,4835,Franklinville,,144.777662874871,942909114.352783,215710.992817749
61,27249,195.0,2.0,13355,Gibsonville,,146.012729314863,1679803774.77087,397477.611919868
62,27252,14.0,1.0,2264,Goldston,,61.8374558303887,1142470673.17163,220926.147155476
63,27253,961.0,5.0,31464,Graham,,305.428426137808,2351372927.78931,521476.969804177
64,27258,167.0,3.0,7740,Haw River,,215.762273901809,473631125.268677,312686.877842211
65,27260,642.0,14.0,25696,High Point,,249.844333748443,348441568.963501,133229.878739789
66,27262,553.0,6.0,24764,High Point,,223.308027782265,368730084.700928,171087.864383377
67,27263,513.0,6.0,22320,High Point,,229.838709677419,1121512604.52234,249658.228757679
68,27265,843.0,23.0,50038,High Point,,168.471961309405,1172957282.41284,307481.490778656
69,27268,134.0,0.0,1695,High Point,,790.560471976401,2495618.64758301,8251.66869064816
70,27278,375.0,1.0,27181,Hillsborough,,137.964018983849,2885765742.02771,502574.675043234
71,27281,68.0,0.0,3710,Jackson Springs,,183.288409703504,2095606802.2608,479969.724586594
72,27282,263.0,5.0,16597,Jamestown,,158.462372717961,404066994.873657,168803.970950205
73,27283,46.0,1.0,2982,Julian,,154.258886653253,711286368.914917,161239.518798817
74,27284,914.0,9.0,56201,Kernersville,,162.630558175121,2233069317.10205,420748.080109325
75,27288,412.0,5.0,23585,Eden,,174.687301250795,1951079100.05676,304615.616752016
76,27291,19.0,0.0,1538,Leasburg,,123.537061118336,1492904663.44434,314720.365319101
77,27292,794.0,6.0,41465,Lexington,,191.486796093091,4270233445.18579,407599.915340798
78,27295,656.0,16.0,39191,Lexington,,167.385369089842,3631502180.53174,466742.919509858
79,27298,164.0,0.0,10440,Liberty,,157.088122605364,2639148530.03284,431527.987760386
80,27299,115.0,0.0,5254,Linwood,,218.88085268367,822543412.257813,203597.604040365
81,27301,125.0,2.0,10019,Mc Leansville,,124.762950394251,900133716.655151,287107.537324028
82,27302,522.0,0.0,32302,Mebane,,161.599900934927,3198656461.27478,644303.59427532
83,27305,41.0,1.0,1585,Milton,,258.675078864353,687167820.539429,263836.485514183
84,27306,172.0,5.0,5945,Mount Gilead,,289.318755256518,5305900334.83325,426306.558627535
85,27310,87.0,1.0,8562,Oak Ridge,,101.611772950245,526240082.103149,140986.043049622
86,27311,33.0,0.0,3220,Pelham,,102.484472049689,1338371966.32642,293760.993606137
87,27312,267.0,23.0,22205,Pittsboro,,120.243188471065,5005768374.64233,617961.777569282
88,27313,132.0,17.0,7288,Pleasant Garden,,181.119648737651,760352714.59021,181619.740165306
89,27314,7.0,0.0,1138,Prospect Hill,,61.5114235500879,773578280.842896,162162.976448062
90,27315,21.0,0.0,2140,Providence,,98.1308411214953,697810511.310425,179457.95829655
91,27316,208.0,11.0,7156,Ramseur,,290.66517607602,1975410509.03577,278228.393914438
92,27317,334.0,6.0,17851,Randleman,,187.104363901182,1700826686.43616,339539.515262609
93,27320,501.0,8.0,38894,Reidsville,,128.811641898493,6966725984.64832,658218.836963247
94,27325,262.0,2.0,7676,Robbins,,341.323606044815,2401051783.47894,409075.895347679
95,27326,47.0,2.0,3692,Ruffin,,127.302275189599,1884156536.74561,359587.547530237
96,27330,1169.0,11.0,39529,Sanford,,295.732247210908,6011213414.18433,528161.840140257
97,27332,785.0,5.0,33549,Sanford,,233.986109869147,2996782209.29614,417113.164836099
98,27340,,,34,Saxapahaw,Population <500 and Cases <5,,694758.987792969,3852.87240074502
99,27341,84.0,0.0,5820,Seagrove,,144.329896907216,2678433259.4787,311632.157547413
100,27343,15.0,0.0,1840,Semora,,81.5217391304348,1390260353.39624,348769.311430722
101,27344,968.0,22.0,19290,Siler City,,501.814411612234,4591228058.44531,607903.308882544
102,27349,68.0,1.0,5850,Snow Camp,,116.239316239316,1831279532.651,381750.490582419
103,27350,99.0,0.0,7508,Sophia,,131.859350026638,1066449848.573,204602.636460839
104,27355,64.0,0.0,3196,Staley,,200.250312891114,1016358702.6969,245160.332752788
105,27356,80.0,1.0,3513,Star,,227.725590663251,1815293543.21783,348288.37985576
106,27357,121.0,1.0,8325,Stokesdale,,145.345345345345,1273124268.28796,223115.118835702
107,27358,221.0,1.0,15960,Summerfield,,138.471177944862,1557557662.14905,323017.176053331
108,27360,1125.0,13.0,48331,Thomasville,,232.769857855207,2458732404.91687,372395.85217249
109,27370,220.0,1.0,14622,Trinity,,150.458213650663,1663817222.16028,344702.900725307
110,27371,239.0,3.0,7778,Troy,,307.276934944716,4076136455.00793,473833.643450898
111,27376,175.0,6.0,9884,West End,,177.053824362606,1781050002.06519,320932.333330313
112,27377,157.0,0.0,9597,Whitsett,,163.592789413358,736936774.92627,183024.518653502
113,27379,106.0,3.0,6057,Yanceyville,,175.004127455836,2663338769.75159,422550.665080929
114,27401,385.0,10.0,20221,Greensboro,,190.396122842589,171748092.127686,100334.769337553
115,27403,287.0,8.0,21278,Greensboro,,134.881097847542,159396286.028687,87465.2545388649
116,27405,1113.0,18.0,52510,Greensboro,,211.959626737764,886695637.391357,284328.526421691
117,27406,1097.0,43.0,60755,Greensboro,,180.561270677311,1894160074.00403,327705.317343953
118,27407,999.0,13.0,49837,Greensboro,,200.453478339386,840498790.451172,227731.576408348
119,27408,234.0,1.0,17406,Greensboro,,134.436401240951,221403500.549561,80148.1616765212
120,27409,278.0,3.0,17953,Greensboro,,154.848771793015,603872824.646484,239783.02449594
121,27410,634.0,7.0,56968,Greensboro,,111.290549080185,859363574.914917,272309.563854046
122,27411,5.0,0.0,847,Greensboro,,59.0318772136954,713742.998291016,5860.23208289576
123,27412,6.0,0.0,1886,Greensboro,,31.813361611877,4771290.83532715,13054.7888333439
124,27455,399.0,10.0,29197,Greensboro,,136.657875809158,816075696.678345,198282.860420201
125,27498,,,13,Greensboro,Population <500 and Cases <5,,3369264.12316895,7774.18760349114
126,27501,435.0,2.0,21338,Angier,,203.861655262911,1683348454.90833,329143.189780915
127,27502,482.0,3.0,43747,Apex,,110.17898370174,840126405.51062,242725.298081049
128,27503,31.0,0.0,7222,Bahama,,42.9243976737746,1054708975.44934,246183.053747647
129,27504,362.0,5.0,16320,Benson,,221.813725490196,2584462015.08862,486262.181304732
130,27505,165.0,5.0,7308,Broadway,,225.779967159278,1509842573.20557,320128.840505679
131,27507,40.0,1.0,2053,Bullock,,194.836824159766,1354883649.98218,266873.357504053
