OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,RatePer10K,properties.RatePer100K,Shape__Area,Shape__Length
1,27006,2052.0,18.0,14872,Advance,,1379.77407208176,13797.7407208176,1744189234.37061,355282.663136038
2,27007,353.0,3.0,2136,Ararat,,1652.62172284644,16526.2172284644,592499585.594238,195922.003442792
3,27009,451.0,6.0,2937,Belews Creek,,1535.58052434457,15355.8052434457,618093097.011353,191244.647442635
4,27011,880.0,10.0,5411,Boonville,,1626.31676215117,16263.1676215117,1489580093.86462,316910.589814884
5,27012,4163.0,65.0,28954,Clemmons,,1437.79788630241,14377.9788630241,1176567385.86804,255774.303165276
6,27013,1063.0,13.0,6495,Cleveland,,1636.64357197844,16366.4357197844,2066336247.98627,379169.285246239
7,27014,175.0,6.0,957,Cooleemee,,1828.63113897597,18286.3113897597,21479098.032959,22299.1178929161
8,27016,292.0,4.0,1682,Danbury,,1736.02853745541,17360.2853745541,1068209590.0686,211061.413302457
9,27017,1746.0,22.0,9499,Dobson,,1838.08821981261,18380.8821981261,2962951682.04883,566348.974052304
10,27018,1145.0,11.0,8221,East Bend,,1392.77460162997,13927.7460162997,2331567909.96985,255811.974556888
11,27019,552.0,4.0,4234,Germanton,,1303.73169579594,13037.3169579594,977414017.819214,270248.259734795
12,27020,1116.0,11.0,6104,Hamptonville,,1828.30930537353,18283.0930537353,2114111622.36755,316969.486887135
13,27021,2774.0,59.0,17979,King,,1542.91117414762,15429.1117414762,1469376476.14172,210392.900707099
14,27022,175.0,3.0,1512,Lawsonville,,1157.40740740741,11574.0740740741,918745327.278442,200803.000966771
15,27023,1576.0,8.0,12775,Lewisville,,1233.65949119374,12336.5949119374,807172159.002075,183078.980128527
16,27024,449.0,4.0,2683,Lowgap,,1673.49981364145,16734.9981364145,1265827411.39758,278411.484773322
17,27025,1565.0,36.0,11117,Madison,,1407.75389043807,14077.5389043807,2714649364.33142,468723.596670606
18,27027,529.0,19.0,4017,Mayodan,,1316.90316156336,13169.0316156336,548179131.574585,172371.363079245
19,27028,4498.0,56.0,28039,Mocksville,,1604.19415813688,16041.9415813688,5475621774.30664,567238.136149725
20,27030,6745.0,146.0,37641,Mount Airy,,1791.92901357562,17919.2901357562,4824085732.75671,624989.724929863
21,27040,1578.0,13.0,13150,Pfafftown,,1200.0,12000.0,763349953.536133,205025.773716105
22,27041,1283.0,11.0,8020,Pilot Mountain,,1599.7506234414,15997.506234414,1629462738.40637,324677.141569035
23,27042,97.0,2.0,720,Pine Hall,,1347.22222222222,13472.2222222222,290758639.069458,113971.243586081
24,27043,928.0,12.0,6442,Pinnacle,,1440.54641415709,14405.4641415709,1935795027.06067,395674.180712496
25,27045,1543.0,13.0,9583,Rural Hall,,1610.14296149431,16101.4296149431,666085549.25769,154538.589918543
26,27046,254.0,5.0,1953,Sandy Ridge,,1300.56323604711,13005.6323604711,1237681699.0647,217125.573744555
27,27047,188.0,2.0,1279,Siloam,,1469.89835809226,14698.9835809226,576295820.815674,144984.839113672
28,27048,1173.0,16.0,8902,Stoneville,,1317.68141990564,13176.8141990564,2355000804.03674,325454.766660313
29,27050,567.0,7.0,4084,Tobaccoville,,1388.34476003918,13883.4476003918,703876500.567505,219088.1792708
30,27051,1194.0,12.0,8287,Walkertown,,1440.81090865211,14408.1090865211,524680317.775635,151066.808563308
31,27052,1494.0,29.0,10061,Walnut Cove,,1484.94185468641,14849.4185468641,2710320219.82117,403203.611044297
32,27053,386.0,5.0,3156,Westfield,,1223.06717363752,12230.6717363752,2152815477.55933,413464.446930882
33,27054,478.0,9.0,2608,Woodleaf,,1832.82208588957,18328.2208588957,778193820.583862,201172.963339102
34,27055,2540.0,32.0,14521,Yadkinville,,1749.19082707802,17491.9082707802,3115987965.39453,403366.49229781
35,27101,2723.0,50.0,24321,Winston Salem,,1119.60856872661,11196.0856872661,356085731.400146,162957.922513793
36,27103,4655.0,50.0,36071,Winston Salem,,1290.51038230157,12905.1038230157,527249856.672729,146399.561156354
37,27104,3593.0,45.0,29383,Winston Salem,,1222.81591396386,12228.1591396386,337669863.683838,130394.134288752
38,27105,6059.0,61.0,40186,Winston Salem,,1507.73901358682,15077.3901358682,950547784.577881,208375.813794777
39,27106,6189.0,67.0,51378,Winston Salem,,1204.60119117132,12046.0119117132,787324720.967285,203893.681115083
