OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,RatePer10K,properties.RatePer100K,Shape__Area,Shape__Length
1,27006,1678.0,11.0,14872,Advance,,1128.29478214094,11282.9478214094,1744189234.37061,355282.663136038
2,27007,264.0,1.0,2136,Ararat,,1235.95505617978,12359.5505617978,592499585.594238,195922.003442792
3,27009,370.0,4.0,2937,Belews Creek,,1259.78890023834,12597.8890023834,618093097.011353,191244.647442635
4,27011,698.0,7.0,5411,Boonville,,1289.96488634264,12899.6488634264,1489580093.86462,316910.589814884
5,27012,3515.0,54.0,28954,Clemmons,,1213.9946121434,12139.946121434,1176567385.86804,255774.303165276
6,27013,896.0,11.0,6495,Cleveland,,1379.52270977675,13795.2270977675,2066336247.98627,379169.285246239
7,27014,135.0,4.0,957,Cooleemee,,1410.65830721003,14106.5830721003,21479098.032959,22299.1178929161
8,27016,199.0,3.0,1682,Danbury,,1183.11533888228,11831.1533888228,1068209590.0686,211061.413302457
9,27017,1414.0,18.0,9499,Dobson,,1488.57774502579,14885.7774502579,2962951682.04883,566348.974052304
10,27018,908.0,7.0,8221,East Bend,,1104.48850504805,11044.8850504805,2331567909.96985,255811.974556888
11,27019,431.0,1.0,4234,Germanton,,1017.94992914502,10179.4992914502,977414017.819214,270248.259734795
12,27020,906.0,8.0,6104,Hamptonville,,1484.27260812582,14842.7260812582,2114111622.36755,316969.486887135
13,27021,2237.0,48.0,17979,King,,1244.22937871962,12442.2937871962,1469376476.14172,210392.900707099
14,27022,119.0,2.0,1512,Lawsonville,,787.037037037037,7870.37037037037,918745327.278442,200803.000966771
15,27023,1293.0,5.0,12775,Lewisville,,1012.13307240705,10121.3307240705,807172159.002075,183078.980128527
16,27024,370.0,3.0,2683,Lowgap,,1379.0532985464,13790.532985464,1265827411.39758,278411.484773322
17,27025,1217.0,31.0,11117,Madison,,1094.71979850679,10947.1979850679,2714649364.33142,468723.596670606
18,27027,405.0,19.0,4017,Mayodan,,1008.21508588499,10082.1508588499,548179131.574585,172371.363079245
19,27028,3514.0,38.0,28039,Mocksville,,1253.25439566318,12532.5439566318,5475621774.30664,567238.136149725
20,27030,5323.0,114.0,37641,Mount Airy,,1414.14946467947,14141.4946467947,4824085732.75671,624989.724929863
21,27040,1302.0,11.0,13150,Pfafftown,,990.114068441065,9901.14068441065,763349953.536133,205025.773716105
22,27041,922.0,8.0,8020,Pilot Mountain,,1149.62593516209,11496.2593516209,1629462738.40637,324677.141569035
23,27042,83.0,2.0,720,Pine Hall,,1152.77777777778,11527.7777777778,290758639.069458,113971.243586081
24,27043,683.0,7.0,6442,Pinnacle,,1060.22974231605,10602.2974231605,1935795027.06067,395674.180712496
25,27045,1252.0,9.0,9583,Rural Hall,,1306.48022539914,13064.8022539914,666085549.25769,154538.589918543
26,27046,183.0,1.0,1953,Sandy Ridge,,937.019969278034,9370.19969278034,1237681699.0647,217125.573744555
27,27047,147.0,2.0,1279,Siloam,,1149.33541829554,11493.3541829554,576295820.815674,144984.839113672
28,27048,884.0,12.0,8902,Stoneville,,993.035272972366,9930.35272972366,2355000804.03674,325454.766660313
29,27050,446.0,5.0,4084,Tobaccoville,,1092.0666013712,10920.666013712,703876500.567505,219088.1792708
30,27051,919.0,8.0,8287,Walkertown,,1108.9658501267,11089.658501267,524680317.775635,151066.808563308
31,27052,1211.0,24.0,10061,Walnut Cove,,1203.65768810257,12036.5768810257,2710320219.82117,403203.611044297
32,27053,266.0,2.0,3156,Westfield,,842.839036755387,8428.39036755387,2152815477.55933,413464.446930882
33,27054,411.0,5.0,2608,Woodleaf,,1575.92024539877,15759.2024539877,778193820.583862,201172.963339102
34,27055,2094.0,29.0,14521,Yadkinville,,1442.04944563047,14420.4944563047,3115987965.39453,403366.49229781
35,27101,2290.0,44.0,24321,Winston Salem,,941.573126105012,9415.73126105012,356085731.400146,162957.922513793
36,27103,3838.0,45.0,36071,Winston Salem,,1064.01264173436,10640.1264173436,527249856.672729,146399.561156354
37,27104,3053.0,41.0,29383,Winston Salem,,1039.03617738148,10390.3617738148,337669863.683838,130394.134288752
38,27105,5084.0,47.0,40186,Winston Salem,,1265.11720499677,12651.1720499677,950547784.577881,208375.813794777
39,27106,5216.0,61.0,51378,Winston Salem,,1015.22052240258,10152.2052240258,787324720.967285,203893.681115083
