OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,RatePer10K,Shape__Area,Shape__Length
1,27006,136.0,3.0,14872,Advance,,91.4470145239376,1744189234.37061,355282.663136038
2,27007,33.0,0.0,2136,Ararat,,154.494382022472,592499585.594238,195922.003442792
3,27009,17.0,0.0,2937,Belews Creek,,57.8821927136534,618093097.011353,191244.647442635
4,27011,84.0,1.0,5411,Boonville,,155.239327296248,1489580093.86462,316910.589814884
5,27012,438.0,12.0,28954,Clemmons,,151.274435311183,1176567385.86804,255774.303165276
6,27013,110.0,3.0,6495,Cleveland,,169.361046959199,2066336247.98627,379169.285246239
7,27014,8.0,0.0,957,Cooleemee,,83.594566353187,21479098.032959,22299.1178929161
8,27016,23.0,0.0,1682,Danbury,,136.741973840666,1068209590.0686,211061.413302457
9,27017,220.0,1.0,9499,Dobson,,231.603326665965,2962951682.04883,566348.974052304
10,27018,121.0,2.0,8221,East Bend,,147.18404087094,2331567909.96985,255811.974556888
11,27019,43.0,0.0,4234,Germanton,,101.558809636278,977414017.819214,270248.259734795
12,27020,143.0,2.0,6104,Hamptonville,,234.272608125819,2114111622.36755,316969.486887135
13,27021,175.0,1.0,17979,King,,97.3357806329607,1469376476.14172,210392.900707099
14,27022,13.0,0.0,1512,Lawsonville,,85.978835978836,918745327.278442,200803.000966771
15,27023,164.0,1.0,12775,Lewisville,,128.375733855186,807172159.002075,183078.980128527
16,27024,26.0,1.0,2683,Lowgap,,96.9064480059635,1265827411.39758,278411.484773322
17,27025,280.0,2.0,11117,Madison,,251.866510749303,2714649364.33142,468723.596670606
18,27027,63.0,0.0,4017,Mayodan,,156.833457804332,548179131.574585,172371.363079245
19,27028,451.0,3.0,28039,Mocksville,,160.847391133778,5475621774.30664,567238.136149725
20,27030,695.0,12.0,37641,Mount Airy,,184.639090353604,4824085732.75671,624989.724929863
21,27040,135.0,1.0,13150,Pfafftown,,102.661596958175,763349953.536133,205025.773716105
22,27041,87.0,0.0,8020,Pilot Mountain,,108.478802992519,1629462738.40637,324677.141569035
23,27042,15.0,1.0,720,Pine Hall,,208.333333333333,290758639.069458,113971.243586081
24,27043,92.0,1.0,6442,Pinnacle,,142.812791058677,1935795027.06067,395674.180712496
25,27045,179.0,3.0,9583,Rural Hall,,186.789105708025,666085549.25769,154538.589918543
26,27046,19.0,1.0,1953,Sandy Ridge,,97.2862263184844,1237681699.0647,217125.573744555
27,27047,10.0,0.0,1279,Siloam,,78.1860828772478,576295820.815674,144984.839113672
28,27048,116.0,0.0,8902,Stoneville,,130.307796000899,2355000804.03674,325454.766660313
29,27050,37.0,0.0,4084,Tobaccoville,,90.5974534769833,703876500.567505,219088.1792708
30,27051,108.0,1.0,8287,Walkertown,,130.324604802703,524680317.775635,151066.808563308
31,27052,113.0,0.0,10061,Walnut Cove,,112.314879236656,2710320219.82117,403203.611044297
32,27053,22.0,0.0,3156,Westfield,,69.7084917617237,2152815477.55933,413464.446930882
33,27054,45.0,0.0,2608,Woodleaf,,172.546012269939,778193820.583862,201172.963339102
34,27055,330.0,2.0,14521,Yadkinville,,227.257075958956,3115987965.39453,403366.49229781
35,27101,330.0,12.0,24321,Winston Salem,,135.685210312076,356085731.400146,162957.922513793
36,27103,628.0,17.0,36071,Winston Salem,,174.101078428655,527249856.672729,146399.561156354
37,27104,475.0,11.0,29383,Winston Salem,,161.658101623388,337669863.683838,130394.134288752
38,27105,1066.0,9.0,40186,Winston Salem,,265.266510725128,950547784.577881,208375.813794777
39,27106,886.0,10.0,51378,Winston Salem,,172.447351006267,787324720.967285,203893.681115083
40,27107,1239.0,15.0,52432,Winston Salem,,236.306072627403,1859279716.41162,319111.813640457
41,27127,842.0,6.0,38510,Winston Salem,,218.644507920021,820319160.873047,213438.375685158
42,27157,10.0,0.0,5,Winston Salem,,,827769.094482422,4216.57245655308
43,27203,786.0,19.0,21876,Asheboro,,359.297860669227,589408161.410522,188062.356665824
44,27205,702.0,12.0,34549,Asheboro,,203.189672638861,6255653514.79199,588011.232518038
45,27207,98.0,1.0,3806,Bear Creek,,257.488176563321,2300194678.82397,473699.237818467
46,27208,44.0,0.0,1691,Bennett,,260.2010644589,1029479783.1405,215638.108979383
47,27209,323.0,20.0,4151,Biscoe,,778.125752830643,1198089302.20734,259108.004034657
48,27212,128.0,0.0,1600,Blanch,,800.0,1328181375.12305,277007.39975067
49,27214,152.0,1.0,11747,Browns Summit,,129.394739082319,1414533235.94788,324969.092830869
50,27215,860.0,8.0,44892,Burlington,,191.570881226054,1827823774.30115,298200.358945539
51,27217,1510.0,38.0,39111,Burlington,,386.080642274552,3473433663.33496,513818.51476852
52,27229,222.0,7.0,4014,Candor,,553.064275037369,2747739848.89313,367384.611313313
53,27231,19.0,0.0,2048,Cedar Grove,,92.7734375,987771348.581177,209108.769362036
54,27233,20.0,0.0,3647,Climax,,54.839594187003,703252829.253662,187154.002103638
55,27235,68.0,0.0,4575,Colfax,,148.633879781421,380654027.583252,148521.339190303
56,27239,120.0,3.0,9629,Denton,,124.623533077163,4319759872.9696,429373.198159064
57,27242,56.0,0.0,2668,Eagle Springs,,209.895052473763,1480408484.01825,321391.030328654
58,27243,66.0,1.0,4665,Efland,,141.479099678457,1142332751.10315,311755.144165646
59,27244,234.0,2.0,16259,Elon,,143.920290300757,1541989025.453,399696.340130384
60,27248,63.0,2.0,4835,Franklinville,,130.299896587384,942909114.352783,215710.992817749
61,27249,174.0,2.0,13355,Gibsonville,,130.288281542493,1679803774.77087,397477.611919868
62,27252,14.0,1.0,2264,Goldston,,61.8374558303887,1142470673.17163,220926.147155476
63,27253,912.0,5.0,31464,Graham,,289.855072463768,2351372927.78931,521476.969804177
64,27258,164.0,2.0,7740,Haw River,,211.886304909561,473631125.268677,312686.877842211
65,27260,602.0,14.0,25696,High Point,,234.277708592777,348441568.963501,133229.878739789
66,27262,511.0,6.0,24764,High Point,,206.347924406396,368730084.700928,171087.864383377
67,27263,453.0,5.0,22320,High Point,,202.956989247312,1121512604.52234,249658.228757679
68,27265,764.0,22.0,50038,High Point,,152.683960190255,1172957282.41284,307481.490778656
69,27268,47.0,0.0,1695,High Point,,277.286135693215,2495618.64758301,8251.66869064816
70,27278,350.0,1.0,27181,Hillsborough,,128.766417718259,2885765742.02771,502574.675043234
71,27281,64.0,0.0,3710,Jackson Springs,,172.506738544474,2095606802.2608,479969.724586594
72,27282,231.0,4.0,16597,Jamestown,,139.18177983973,404066994.873657,168803.970950205
73,27283,43.0,1.0,2982,Julian,,144.198524480215,711286368.914917,161239.518798817
74,27284,833.0,8.0,56201,Kernersville,,148.218003238377,2233069317.10205,420748.080109325
75,27288,361.0,3.0,23585,Eden,,153.063387746449,1951079100.05676,304615.616752016
76,27291,8.0,0.0,1538,Leasburg,,52.0156046814044,1492904663.44434,314720.365319101
77,27292,719.0,6.0,41465,Lexington,,173.399252381527,4270233445.18579,407599.915340798
78,27295,611.0,16.0,39191,Lexington,,155.903141027277,3631502180.53174,466742.919509858
79,27298,159.0,0.0,10440,Liberty,,152.298850574713,2639148530.03284,431527.987760386
80,27299,101.0,0.0,5254,Linwood,,192.234488009136,822543412.257813,203597.604040365
81,27301,115.0,2.0,10019,Mc Leansville,,114.781914362711,900133716.655151,287107.537324028
82,27302,482.0,0.0,32302,Mebane,,149.216766763668,3198656461.27478,644303.59427532
83,27305,39.0,1.0,1585,Milton,,246.056782334385,687167820.539429,263836.485514183
84,27306,164.0,4.0,5945,Mount Gilead,,275.862068965517,5305900334.83325,426306.558627535
85,27310,81.0,1.0,8562,Oak Ridge,,94.604064470918,526240082.103149,140986.043049622
86,27311,29.0,0.0,3220,Pelham,,90.0621118012422,1338371966.32642,293760.993606137
87,27312,250.0,21.0,22205,Pittsboro,,112.58725512272,5005768374.64233,617961.777569282
88,27313,121.0,17.0,7288,Pleasant Garden,,166.02634467618,760352714.59021,181619.740165306
89,27314,7.0,0.0,1138,Prospect Hill,,61.5114235500879,773578280.842896,162162.976448062
90,27315,21.0,0.0,2140,Providence,,98.1308411214953,697810511.310425,179457.95829655
91,27316,197.0,11.0,7156,Ramseur,,275.293460033538,1975410509.03577,278228.393914438
92,27317,303.0,6.0,17851,Randleman,,169.738390006162,1700826686.43616,339539.515262609
93,27320,447.0,8.0,38894,Reidsville,,114.927752352548,6966725984.64832,658218.836963247
94,27325,257.0,2.0,7676,Robbins,,334.809796769151,2401051783.47894,409075.895347679
95,27326,40.0,2.0,3692,Ruffin,,108.342361863489,1884156536.74561,359587.547530237
96,27330,1084.0,11.0,39529,Sanford,,274.229047028764,6011213414.18433,528161.840140257
97,27332,746.0,5.0,33549,Sanford,,222.361322245074,2996782209.29614,417113.164836099
98,27340,,,34,Saxapahaw,Population <500 and Cases <5,,694758.987792969,3852.87240074502
99,27341,81.0,0.0,5820,Seagrove,,139.175257731959,2678433259.4787,311632.157547413
100,27343,12.0,0.0,1840,Semora,,65.2173913043478,1390260353.39624,348769.311430722
101,27344,935.0,22.0,19290,Siler City,,484.707102125454,4591228058.44531,607903.308882544
102,27349,63.0,1.0,5850,Snow Camp,,107.692307692308,1831279532.651,381750.490582419
103,27350,92.0,0.0,7508,Sophia,,122.535961640916,1066449848.573,204602.636460839
104,27355,62.0,0.0,3196,Staley,,193.992490613267,1016358702.6969,245160.332752788
105,27356,79.0,1.0,3513,Star,,224.87902077996,1815293543.21783,348288.37985576
106,27357,96.0,1.0,8325,Stokesdale,,115.315315315315,1273124268.28796,223115.118835702
107,27358,205.0,1.0,15960,Summerfield,,128.446115288221,1557557662.14905,323017.176053331
108,27360,1042.0,11.0,48331,Thomasville,,215.596615009,2458732404.91687,372395.85217249
109,27370,193.0,1.0,14622,Trinity,,131.9928874299,1663817222.16028,344702.900725307
110,27371,226.0,3.0,7778,Troy,,290.563126767807,4076136455.00793,473833.643450898
111,27376,160.0,6.0,9884,West End,,161.877782274383,1781050002.06519,320932.333330313
112,27377,143.0,0.0,9597,Whitsett,,149.00489736376,736936774.92627,183024.518653502
113,27379,101.0,3.0,6057,Yanceyville,,166.749215783391,2663338769.75159,422550.665080929
114,27401,362.0,10.0,20221,Greensboro,,179.021809010435,171748092.127686,100334.769337553
115,27403,263.0,8.0,21278,Greensboro,,123.60184227841,159396286.028687,87465.2545388649
116,27405,1068.0,18.0,52510,Greensboro,,203.389830508475,886695637.391357,284328.526421691
117,27406,1017.0,43.0,60755,Greensboro,,167.393630153897,1894160074.00403,327705.317343953
118,27407,939.0,13.0,49837,Greensboro,,188.414230391075,840498790.451172,227731.576408348
119,27408,223.0,0.0,17406,Greensboro,,128.116741353556,221403500.549561,80148.1616765212
120,27409,268.0,3.0,17953,Greensboro,,149.27867208823,603872824.646484,239783.02449594
121,27410,577.0,7.0,56968,Greensboro,,101.284931891588,859363574.914917,272309.563854046
122,27411,3.0,0.0,847,Greensboro,,35.4191263282172,713742.998291016,5860.23208289576
123,27412,5.0,0.0,1886,Greensboro,,26.5111346765642,4771290.83532715,13054.7888333439
124,27455,363.0,9.0,29197,Greensboro,,124.327841901565,816075696.678345,198282.860420201
125,27498,,,13,Greensboro,Population <500 and Cases <5,,3369264.12316895,7774.18760349114
126,27501,410.0,2.0,21338,Angier,,192.145468178836,1683348454.90833,329143.189780915
127,27502,453.0,3.0,43747,Apex,,103.549957711386,840126405.51062,242725.298081049
