OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,RatePer10K,properties.RatePer100K,Shape__Area,Shape__Length
1,27006,4257.0,22.0,14872,Advance,,2862.42603550296,28624.2603550296,1744189234.37061,355282.663136038
2,27007,722.0,9.0,2136,Ararat,,3380.14981273408,33801.4981273408,592499585.594238,195922.003442792
3,27009,802.0,9.0,2937,Belews Creek,,2730.67756213824,27306.7756213824,618093097.011353,191244.647442635
4,27011,1945.0,19.0,5411,Boonville,,3594.52966180004,35945.2966180004,1489580093.86462,316910.589814884
5,27012,8994.0,87.0,28954,Clemmons,,3106.30655522553,31063.0655522553,1176567385.86804,255774.303165276
6,27013,1868.0,14.0,6495,Cleveland,,2876.0585065435,28760.585065435,2066336247.98627,379169.285246239
7,27014,323.0,6.0,957,Cooleemee,,3375.13061650993,33751.3061650993,21479098.032959,22299.1178929161
8,27016,650.0,11.0,1682,Danbury,,3864.44708680143,38644.4708680143,1068209590.0686,211061.413302457
9,27017,3409.0,35.0,9499,Dobson,,3588.79882092852,35887.9882092852,2962951682.04883,566348.974052303
10,27018,2503.0,16.0,8221,East Bend,,3044.64177107408,30446.4177107408,2331567909.96985,255811.974556888
11,27019,1050.0,8.0,4234,Germanton,,2479.92442135097,24799.2442135097,977414017.819214,270248.259734795
12,27020,2158.0,14.0,6104,Hamptonville,,3535.38663171691,35353.8663171691,2114111622.36755,316969.486887135
13,27021,5881.0,92.0,17979,King,,3271.03843372824,32710.3843372824,1469376476.14172,210392.900707099
14,27022,377.0,4.0,1512,Lawsonville,,2493.38624338624,24933.8624338624,918745327.278442,200803.000966771
15,27023,3598.0,16.0,12775,Lewisville,,2816.43835616438,28164.3835616438,807172159.002075,183078.980128526
16,27024,871.0,9.0,2683,Lowgap,,3246.36600819978,32463.6600819978,1265827411.39758,278411.484773322
17,27025,2968.0,51.0,11117,Madison,,2669.78501394261,26697.8501394261,2714649364.33142,468723.596670607
18,27027,1073.0,23.0,4017,Mayodan,,2671.14762260393,26711.4762260393,548179131.574585,172371.363079245
19,27028,8720.0,87.0,28039,Mocksville,,3109.95399265309,31099.5399265309,5475621774.30664,567238.136149726
20,27030,13143.0,224.0,37641,Mount Airy,,3491.67131585239,34916.7131585239,4824085732.75671,624989.724929864
21,27040,3520.0,21.0,13150,Pfafftown,,2676.80608365019,26768.0608365019,763349953.536133,205025.773716105
22,27041,2497.0,31.0,8020,Pilot Mountain,,3113.46633416459,31134.6633416459,1629462738.40637,324677.141569035
23,27042,190.0,3.0,720,Pine Hall,,2638.88888888889,26388.8888888889,290758639.069458,113971.243586081
24,27043,1929.0,16.0,6442,Pinnacle,,2994.41167339336,29944.1167339336,1935795027.06067,395674.180712495
25,27045,3253.0,24.0,9583,Rural Hall,,3394.55285401231,33945.5285401231,666085549.25769,154538.589918543
26,27046,498.0,7.0,1953,Sandy Ridge,,2549.92319508449,25499.2319508449,1237681699.0647,217125.573744555
27,27047,418.0,3.0,1279,Siloam,,3268.17826426896,32681.7826426896,576295820.815674,144984.839113672
28,27048,2293.0,27.0,8902,Stoneville,,2575.8256571557,25758.256571557,2355000804.03674,325454.766660312
29,27050,1157.0,14.0,4084,Tobaccoville,,2833.00685602351,28330.0685602351,703876500.567505,219088.1792708
30,27051,2461.0,21.0,8287,Walkertown,,2969.71159647641,29697.1159647641,524680317.775635,151066.808563308
31,27052,2964.0,45.0,10061,Walnut Cove,,2946.02922174734,29460.2922174734,2710320219.82117,403203.611044297
32,27053,788.0,9.0,3156,Westfield,,2496.83143219265,24968.3143219265,2152815477.55933,413464.446930883
33,27054,835.0,13.0,2608,Woodleaf,,3201.68711656442,32016.8711656442,778193820.583862,201172.963339102
34,27055,5529.0,58.0,14521,Yadkinville,,3807.58900902142,38075.8900902142,3115987965.39453,403366.492297811
35,27101,5976.0,66.0,24321,Winston Salem,,2457.1358085605,24571.358085605,356085731.400146,162957.922513792
36,27103,10452.0,86.0,36071,Winston Salem,,2897.61858556735,28976.1858556735,527249856.672729,146399.561156354
37,27104,8325.0,64.0,29383,Winston Salem,,2833.27093897832,28332.7093897832,337669863.683838,130394.134288752
38,27105,12213.0,85.0,40186,Winston Salem,,3039.11810083114,30391.1810083114,950547784.577881,208375.813794777
39,27106,13557.0,99.0,51378,Winston Salem,,2638.67803339951,26386.7803339951,787324720.967285,203893.681115083
40,27107,14672.0,112.0,52432,Winston Salem,,2798.29111992676,27982.9111992676,1859279716.41162,319111.813640457
41,27127,12061.0,60.0,38510,Winston Salem,,3131.91378862633,31319.1378862633,820319160.873047,213438.375685158
42,27157,218.0,1.0,5,Winston Salem,,,,827769.094482422,4216.57245655308
43,27203,7084.0,81.0,21876,Asheboro,,3238.25196562443,32382.5196562443,589408161.410522,188062.356665824
44,27205,9714.0,85.0,34549,Asheboro,,2811.65880343859,28116.5880343859,6255653514.79199,588011.232518038
45,27207,979.0,4.0,3806,Bear Creek,,2572.25433526012,25722.5433526012,2300194678.82397,473699.237818466
46,27208,435.0,4.0,1691,Bennett,,2572.44234180958,25724.4234180958,1029479783.1405,215638.108979383
47,27209,1518.0,50.0,4151,Biscoe,,3656.95013249819,36569.5013249819,1198089302.20734,259108.004034657
48,27212,659.0,1.0,1600,Blanch,,4118.75,41187.5,1328181375.12305,277007.399750669
49,27214,3275.0,25.0,11747,Browns Summit,,2787.94585851707,27879.4585851707,1414533235.94788,324969.09283087
50,27215,14292.0,148.0,44892,Burlington,,3183.64073777065,31836.4073777065,1827823774.30115,298200.358945539
51,27217,14173.0,172.0,39111,Burlington,,3623.78870394518,36237.8870394518,3473433663.33496,513818.514768521
52,27229,1293.0,25.0,4014,Candor,,3221.22571001495,32212.2571001495,2747739848.89313,367384.611313313
53,27231,487.0,2.0,2048,Cedar Grove,,2377.9296875,23779.296875,987771348.581177,209108.769362036
54,27233,904.0,8.0,3647,Climax,,2478.74965725254,24787.4965725254,703252829.253662,187154.002103637
55,27235,1276.0,16.0,4575,Colfax,,2789.07103825137,27890.7103825137,380654027.583252,148521.339190304
56,27239,2595.0,30.0,9629,Denton,,2694.98390279364,26949.8390279364,4319759872.9696,429373.198159065
57,27242,599.0,9.0,2668,Eagle Springs,,2245.12743628186,22451.2743628186,1480408484.01825,321391.030328654
58,27243,1106.0,6.0,4665,Efland,,2370.84673097535,23708.4673097535,1142332751.10315,311755.144165645
59,27244,5814.0,35.0,16259,Elon,,3575.86567439572,35758.6567439572,1541989025.453,399696.340130383
60,27248,1231.0,14.0,4835,Franklinville,,2546.01861427094,25460.1861427094,942909114.352783,215710.992817748
61,27249,3814.0,33.0,13355,Gibsonville,,2855.85922875328,28558.5922875328,1679803774.77087,397477.611919869
62,27252,402.0,4.0,2264,Goldston,,1775.6183745583,17756.183745583,1142470673.17163,220926.147155477
63,27253,10825.0,101.0,31464,Graham,,3440.43986778541,34404.3986778541,2351372927.78931,521476.969804175
64,27258,2179.0,15.0,7740,Haw River,,2815.24547803618,28152.4547803618,473631125.268677,312686.877842212
65,27260,6678.0,87.0,25696,High Point,,2598.84806973848,25988.4806973848,348441568.963501,133229.878739789
66,27262,5963.0,93.0,24764,High Point,,2407.93086738814,24079.3086738814,368730084.700928,171087.864383377
67,27263,5820.0,88.0,22320,High Point,,2607.52688172043,26075.2688172043,1121512604.52234,249658.228757679
68,27265,13366.0,113.0,50038,High Point,,2671.16991086774,26711.6991086774,1172957282.41284,307481.490778656
69,27268,464.0,0.0,1695,High Point,,2737.46312684366,27374.6312684366,2495618.64758301,8251.66869064816
70,27278,6993.0,31.0,27181,Hillsborough,,2572.75302601082,25727.5302601082,2885765742.02771,502574.675043234
71,27281,852.0,7.0,3710,Jackson Springs,,2296.49595687332,22964.9595687332,2095606802.2608,479969.724586593
72,27282,4232.0,45.0,16597,Jamestown,,2549.85840814605,25498.5840814605,404066994.873657,168803.970950205
73,27283,787.0,8.0,2982,Julian,,2639.1683433937,26391.683433937,711286368.914917,161239.518798817
74,27284,16258.0,158.0,56201,Kernersville,,2892.8310884148,28928.310884148,2233069317.10205,420748.080109326
75,27288,6936.0,95.0,23585,Eden,,2940.85223659105,29408.5223659105,1951079100.05676,304615.616752016
76,27291,390.0,2.0,1538,Leasburg,,2535.76072821847,25357.6072821847,1492904663.44434,314720.3653191
77,27292,12686.0,106.0,41465,Lexington,,3059.44772699867,30594.4772699867,4270233445.18579,407599.915340798
78,27295,12877.0,109.0,39191,Lexington,,3285.70335025899,32857.0335025899,3631502180.53174,466742.919509857
79,27298,2777.0,22.0,10440,Liberty,,2659.96168582375,26599.6168582375,2639148530.03284,431527.987760386
80,27299,1886.0,16.0,5254,Linwood,,3589.64598401218,35896.4598401218,822543412.257813,203597.604040364
81,27301,3152.0,32.0,10019,Mc Leansville,,3146.02255714143,31460.2255714143,900133716.655151,287107.537324028
82,27302,10046.0,50.0,32302,Mebane,,3110.02414711163,31100.2414711163,3198656461.27478,644303.594275321
83,27305,418.0,4.0,1585,Milton,,2637.22397476341,26372.2397476341,687167820.539429,263836.485514183
84,27306,1984.0,25.0,5945,Mount Gilead,,3337.25820016821,33372.5820016821,5305900334.83325,426306.558627535
85,27310,2093.0,8.0,8562,Oak Ridge,,2444.52230787199,24445.2230787199,526240082.103149,140986.043049622
86,27311,895.0,7.0,3220,Pelham,,2779.50310559006,27795.0310559006,1338371966.32642,293760.993606137
87,27312,4671.0,36.0,22205,Pittsboro,,2103.5802747129,21035.802747129,5005768374.64233,617961.777569282
88,27313,1736.0,36.0,7288,Pleasant Garden,,2381.99780461032,23819.9780461032,760352714.59021,181619.740165306
89,27314,263.0,2.0,1138,Prospect Hill,,2311.07205623902,23110.7205623902,773578280.842896,162162.976448062
90,27315,444.0,1.0,2140,Providence,,2074.76635514019,20747.6635514019,697810511.310425,179457.95829655
91,27316,1936.0,27.0,7156,Ramseur,,2705.4220234768,27054.220234768,1975410509.03577,278228.393914437
92,27317,5253.0,56.0,17851,Randleman,,2942.69228614643,29426.9228614643,1700826686.43616,339539.515262609
