OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,RatePer10K,properties.RatePer100K,Shape__Area,Shape__Length
1,27006,455.0,3.0,14872,Advance,,305.944055944056,3059.44055944056,1744189234.37061,355282.663136038
2,27007,81.0,0.0,2136,Ararat,,379.213483146067,3792.13483146067,592499585.594238,195922.003442792
3,27009,87.0,1.0,2937,Belews Creek,,296.220633299285,2962.20633299285,618093097.011353,191244.647442635
4,27011,247.0,4.0,5411,Boonville,,456.477545740159,4564.77545740159,1489580093.86462,316910.589814884
5,27012,1149.0,19.0,28954,Clemmons,,396.836361124542,3968.36361124542,1176567385.86804,255774.303165276
6,27013,219.0,4.0,6495,Cleveland,,337.182448036952,3371.82448036952,2066336247.98627,379169.285246239
7,27014,27.0,0.0,957,Cooleemee,,282.131661442006,2821.31661442006,21479098.032959,22299.1178929161
8,27016,58.0,0.0,1682,Danbury,,344.827586206897,3448.27586206897,1068209590.0686,211061.413302457
9,27017,499.0,3.0,9499,Dobson,,525.318454574166,5253.18454574166,2962951682.04883,566348.974052304
10,27018,332.0,3.0,8221,East Bend,,403.843814621092,4038.43814621092,2331567909.96985,255811.974556888
11,27019,132.0,1.0,4234,Germanton,,311.76192725555,3117.6192725555,977414017.819214,270248.259734795
12,27020,307.0,4.0,6104,Hamptonville,,502.948885976409,5029.48885976409,2114111622.36755,316969.486887135
13,27021,570.0,8.0,17979,King,,317.036542633072,3170.36542633072,1469376476.14172,210392.900707099
14,27022,38.0,1.0,1512,Lawsonville,,251.322751322751,2513.22751322751,918745327.278442,200803.000966771
15,27023,467.0,2.0,12775,Lewisville,,365.557729941292,3655.57729941292,807172159.002075,183078.980128527
16,27024,105.0,3.0,2683,Lowgap,,391.352963101006,3913.52963101006,1265827411.39758,278411.484773322
17,27025,593.0,3.0,11117,Madison,,533.417288836916,5334.17288836916,2714649364.33142,468723.596670606
18,27027,187.0,0.0,4017,Mayodan,,465.521533482699,4655.21533482699,548179131.574585,172371.363079245
19,27028,1092.0,10.0,28039,Mocksville,,389.457541281786,3894.57541281786,5475621774.30664,567238.136149725
20,27030,1748.0,29.0,37641,Mount Airy,,464.387237321006,4643.87237321006,4824085732.75671,624989.724929863
21,27040,434.0,1.0,13150,Pfafftown,,330.038022813688,3300.38022813688,763349953.536133,205025.773716105
22,27041,271.0,4.0,8020,Pilot Mountain,,337.905236907731,3379.05236907731,1629462738.40637,324677.141569035
23,27042,42.0,1.0,720,Pine Hall,,583.333333333333,5833.33333333333,290758639.069458,113971.243586081
24,27043,226.0,3.0,6442,Pinnacle,,350.822725861534,3508.22725861534,1935795027.06067,395674.180712496
25,27045,451.0,3.0,9583,Rural Hall,,470.62506521966,4706.2506521966,666085549.25769,154538.589918543
26,27046,70.0,1.0,1953,Sandy Ridge,,358.4229390681,3584.229390681,1237681699.0647,217125.573744555
27,27047,57.0,0.0,1279,Siloam,,445.660672400313,4456.60672400313,576295820.815674,144984.839113672
28,27048,379.0,1.0,8902,Stoneville,,425.747023140867,4257.47023140867,2355000804.03674,325454.766660313
29,27050,138.0,1.0,4084,Tobaccoville,,337.904015670911,3379.04015670911,703876500.567505,219088.1792708
30,27051,277.0,3.0,8287,Walkertown,,334.258477132859,3342.58477132859,524680317.775635,151066.808563308
31,27052,331.0,8.0,10061,Walnut Cove,,328.993141834808,3289.93141834808,2710320219.82117,403203.611044297
32,27053,60.0,1.0,3156,Westfield,,190.114068441065,1901.14068441065,2152815477.55933,413464.446930882
33,27054,107.0,1.0,2608,Woodleaf,,410.276073619632,4102.76073619632,778193820.583862,201172.963339102
34,27055,857.0,7.0,14521,Yadkinville,,590.179739687349,5901.79739687349,3115987965.39453,403366.49229781
35,27101,828.0,25.0,24321,Winston Salem,,340.446527692118,3404.46527692118,356085731.400146,162957.922513793
36,27103,1441.0,19.0,36071,Winston Salem,,399.489894929445,3994.89894929445,527249856.672729,146399.561156354
37,27104,1173.0,16.0,29383,Winston Salem,,399.210427798387,3992.10427798387,337669863.683838,130394.134288752
38,27105,2083.0,18.0,40186,Winston Salem,,518.339720300602,5183.39720300602,950547784.577881,208375.813794777
39,27106,2007.0,17.0,51378,Winston Salem,,390.634123554829,3906.34123554829,787324720.967285,203893.681115083
40,27107,2438.0,20.0,52432,Winston Salem,,464.983216356424,4649.83216356424,1859279716.41162,319111.813640457
41,27127,1765.0,14.0,38510,Winston Salem,,458.322513632823,4583.22513632823,820319160.873047,213438.375685158
42,27157,15.0,0.0,5,Winston Salem,,,,827769.094482422,4216.57245655308
43,27203,1358.0,25.0,21876,Asheboro,,620.771621868715,6207.71621868715,589408161.410522,188062.356665824
44,27205,1619.0,22.0,34549,Asheboro,,468.609800573099,4686.09800573099,6255653514.79199,588011.232518038
45,27207,148.0,2.0,3806,Bear Creek,,388.859695218077,3888.59695218077,2300194678.82397,473699.237818467
46,27208,69.0,0.0,1691,Bennett,,408.042578356002,4080.42578356002,1029479783.1405,215638.108979383
47,27209,406.0,23.0,4151,Biscoe,,978.077571669477,9780.77571669477,1198089302.20734,259108.004034657
48,27212,245.0,0.0,1600,Blanch,,1531.25,15312.5,1328181375.12305,277007.39975067
49,27214,421.0,1.0,11747,Browns Summit,,358.389376010896,3583.89376010896,1414533235.94788,324969.092830869
50,27215,1982.0,21.0,44892,Burlington,,441.504054174463,4415.04054174463,1827823774.30115,298200.358945539
51,27217,2708.0,56.0,39111,Burlington,,692.388330648667,6923.88330648667,3473433663.33496,513818.51476852
52,27229,287.0,8.0,4014,Candor,,714.997508719482,7149.97508719482,2747739848.89313,367384.611313313
53,27231,52.0,0.0,2048,Cedar Grove,,253.90625,2539.0625,987771348.581177,209108.769362036
54,27233,94.0,1.0,3647,Climax,,257.746092678914,2577.46092678914,703252829.253662,187154.002103638
55,27235,176.0,1.0,4575,Colfax,,384.699453551913,3846.99453551913,380654027.583252,148521.339190303
56,27239,297.0,5.0,9629,Denton,,308.443244365978,3084.43244365978,4319759872.9696,429373.198159064
57,27242,79.0,0.0,2668,Eagle Springs,,296.101949025487,2961.01949025487,1480408484.01825,321391.030328654
58,27243,134.0,1.0,4665,Efland,,287.245444801715,2872.45444801715,1142332751.10315,311755.144165646
59,27244,940.0,7.0,16259,Elon,,578.141337105603,5781.41337105603,1541989025.453,399696.340130384
60,27248,173.0,3.0,4835,Franklinville,,357.807652533609,3578.07652533609,942909114.352783,215710.992817749
61,27249,476.0,3.0,13355,Gibsonville,,356.420816173718,3564.20816173718,1679803774.77087,397477.611919868
62,27252,38.0,1.0,2264,Goldston,,167.844522968198,1678.44522968198,1142470673.17163,220926.147155476
63,27253,1626.0,25.0,31464,Graham,,516.781083142639,5167.81083142639,2351372927.78931,521476.969804177
64,27258,290.0,3.0,7740,Haw River,,374.677002583979,3746.77002583979,473631125.268677,312686.877842211
65,27260,1010.0,18.0,25696,High Point,,393.057285180573,3930.57285180573,348441568.963501,133229.878739789
66,27262,915.0,12.0,24764,High Point,,369.48796640284297,3694.87966402843,368730084.700928,171087.864383377
67,27263,969.0,18.0,22320,High Point,,434.139784946237,4341.39784946237,1121512604.52234,249658.228757679
68,27265,1695.0,30.0,50038,High Point,,338.7425556577,3387.425556577,1172957282.41284,307481.490778656
69,27268,226.0,0.0,1695,High Point,,1333.33333333333,13333.3333333333,2495618.64758301,8251.66869064816
70,27278,780.0,3.0,27181,Hillsborough,,286.965159486406,2869.65159486406,2885765742.02771,502574.675043234
71,27281,123.0,0.0,3710,Jackson Springs,,331.536388140162,3315.36388140162,2095606802.2608,479969.724586594
72,27282,567.0,7.0,16597,Jamestown,,341.628005061156,3416.28005061156,404066994.873657,168803.970950205
73,27283,106.0,1.0,2982,Julian,,355.466130114017,3554.66130114017,711286368.914917,161239.518798817
74,27284,2142.0,31.0,56201,Kernersville,,381.132008327254,3811.32008327254,2233069317.10205,420748.080109325
75,27288,977.0,8.0,23585,Eden,,414.246343014628,4142.46343014628,1951079100.05676,304615.616752016
76,27291,54.0,0.0,1538,Leasburg,,351.10533159948,3511.0533159948,1492904663.44434,314720.365319101
77,27292,1528.0,10.0,41465,Lexington,,368.50355721693,3685.0355721693,4270233445.18579,407599.915340798
78,27295,1557.0,21.0,39191,Lexington,,397.285090964762,3972.85090964762,3631502180.53174,466742.919509858
79,27298,345.0,1.0,10440,Liberty,,330.459770114943,3304.59770114943,2639148530.03284,431527.987760386
80,27299,244.0,0.0,5254,Linwood,,464.408070041873,4644.08070041873,822543412.257813,203597.604040365
81,27301,389.0,3.0,10019,Mc Leansville,,388.262301626909,3882.62301626909,900133716.655151,287107.537324028
82,27302,1086.0,0.0,32302,Mebane,,336.202092749675,3362.02092749675,3198656461.27478,644303.59427532
83,27305,62.0,1.0,1585,Milton,,391.167192429022,3911.67192429022,687167820.539429,263836.485514183
84,27306,299.0,8.0,5945,Mount Gilead,,502.943650126156,5029.43650126156,5305900334.83325,426306.558627535
85,27310,276.0,2.0,8562,Oak Ridge,,322.354590049054,3223.54590049054,526240082.103149,140986.043049622
86,27311,110.0,0.0,3220,Pelham,,341.614906832298,3416.14906832298,1338371966.32642,293760.993606137
87,27312,445.0,23.0,22205,Pittsboro,,200.405314118442,2004.05314118442,5005768374.64233,617961.777569282
88,27313,229.0,18.0,7288,Pleasant Garden,,314.215148188803,3142.15148188804,760352714.59021,181619.740165306
89,27314,24.0,1.0,1138,Prospect Hill,,210.896309314587,2108.96309314587,773578280.842896,162162.976448062
90,27315,43.0,0.0,2140,Providence,,200.934579439252,2009.34579439252,697810511.310425,179457.95829655
91,27316,377.0,12.0,7156,Ramseur,,526.830631637787,5268.30631637786,1975410509.03577,278228.393914438
92,27317,736.0,8.0,17851,Randleman,,412.30183183015,4123.0183183015,1700826686.43616,339539.515262609
93,27320,1304.0,10.0,38894,Reidsville,,335.270221628015,3352.70221628015,6966725984.64832,658218.836963247
94,27325,376.0,2.0,7676,Robbins,,489.838457529964,4898.38457529963,2401051783.47894,409075.895347679
95,27326,125.0,2.0,3692,Ruffin,,338.569880823402,3385.69880823402,1884156536.74561,359587.547530237
96,27330,1835.0,24.0,39529,Sanford,,464.216145108654,4642.16145108654,6011213414.18433,528161.840140257
97,27332,1325.0,13.0,33549,Sanford,,394.944707740916,3949.44707740916,2996782209.29614,417113.164836099
98,27340,,,34,Saxapahaw,Population <500 and Cases <5,,,694758.987792969,3852.87240074502
99,27341,199.0,0.0,5820,Seagrove,,341.92439862543,3419.2439862543,2678433259.4787,311632.157547413
100,27343,42.0,0.0,1840,Semora,,228.260869565217,2282.60869565217,1390260353.39624,348769.311430722
101,27344,1262.0,23.0,19290,Siler City,,654.224987039917,6542.24987039917,4591228058.44531,607903.308882544
102,27349,199.0,1.0,5850,Snow Camp,,340.17094017094,3401.7094017094,1831279532.651,381750.490582419
103,27350,251.0,3.0,7508,Sophia,,334.310069259457,3343.10069259457,1066449848.573,204602.636460839
104,27355,94.0,0.0,3196,Staley,,294.117647058824,2941.17647058824,1016358702.6969,245160.332752788
105,27356,142.0,2.0,3513,Star,,404.21292342727,4042.1292342727,1815293543.21783,348288.37985576
