OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,RatePer10K,Shape__Area,Shape__Length
1,27006,179.0,3.0,14872,Advance,,120.360408821947,1744189234.37061,355282.663136038
2,27007,39.0,0.0,2136,Ararat,,182.584269662921,592499585.594238,195922.003442792
3,27009,25.0,0.0,2937,Belews Creek,,85.1208716377256,618093097.011353,191244.647442635
4,27011,109.0,1.0,5411,Boonville,,201.441508039179,1489580093.86462,316910.589814884
5,27012,531.0,14.0,28954,Clemmons,,183.394349658078,1176567385.86804,255774.303165276
6,27013,129.0,4.0,6495,Cleveland,,198.614318706697,2066336247.98627,379169.285246239
7,27014,10.0,0.0,957,Cooleemee,,104.493207941484,21479098.032959,22299.1178929161
8,27016,23.0,0.0,1682,Danbury,,136.741973840666,1068209590.0686,211061.413302457
9,27017,265.0,1.0,9499,Dobson,,278.976734393094,2962951682.04883,566348.974052304
10,27018,147.0,2.0,8221,East Bend,,178.810363702713,2331567909.96985,255811.974556888
11,27019,53.0,1.0,4234,Germanton,,125.177137458668,977414017.819214,270248.259734795
12,27020,167.0,2.0,6104,Hamptonville,,273.591087811271,2114111622.36755,316969.486887135
13,27021,235.0,1.0,17979,King,,130.708048278547,1469376476.14172,210392.900707099
14,27022,20.0,0.0,1512,Lawsonville,,132.275132275132,918745327.278442,200803.000966771
15,27023,199.0,2.0,12775,Lewisville,,155.772994129159,807172159.002075,183078.980128527
16,27024,31.0,1.0,2683,Lowgap,,115.542303391726,1265827411.39758,278411.484773322
17,27025,337.0,2.0,11117,Madison,,303.13933615184,2714649364.33142,468723.596670606
18,27027,75.0,0.0,4017,Mayodan,,186.706497386109,548179131.574585,172371.363079245
19,27028,547.0,5.0,28039,Mocksville,,195.085416740968,5475621774.30664,567238.136149725
20,27030,848.0,15.0,37641,Mount Airy,,225.286257006987,4824085732.75671,624989.724929863
21,27040,150.0,1.0,13150,Pfafftown,,114.068441064639,763349953.536133,205025.773716105
22,27041,101.0,0.0,8020,Pilot Mountain,,125.935162094763,1629462738.40637,324677.141569035
23,27042,18.0,1.0,720,Pine Hall,,250.0,290758639.069458,113971.243586081
24,27043,102.0,1.0,6442,Pinnacle,,158.335920521577,1935795027.06067,395674.180712496
25,27045,210.0,3.0,9583,Rural Hall,,219.138056975895,666085549.25769,154538.589918543
26,27046,27.0,1.0,1953,Sandy Ridge,,138.248847926267,1237681699.0647,217125.573744555
27,27047,15.0,0.0,1279,Siloam,,117.279124315872,576295820.815674,144984.839113672
28,27048,178.0,1.0,8902,Stoneville,,199.955066277241,2355000804.03674,325454.766660313
29,27050,51.0,1.0,4084,Tobaccoville,,124.877571008815,703876500.567505,219088.1792708
30,27051,136.0,2.0,8287,Walkertown,,164.112465307108,524680317.775635,151066.808563308
31,27052,171.0,3.0,10061,Walnut Cove,,169.963224331577,2710320219.82117,403203.611044297
32,27053,22.0,1.0,3156,Westfield,,69.7084917617237,2152815477.55933,413464.446930882
33,27054,57.0,0.0,2608,Woodleaf,,218.558282208589,778193820.583862,201172.963339102
34,27055,414.0,2.0,14521,Yadkinville,,285.104331657599,3115987965.39453,403366.49229781
