OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,RatePer10K,properties.RatePer100K,Shape__Area,Shape__Length
1,27006,1729.0,11.0,14872,Advance,,1162.58741258741,11625.8741258741,1744189234.37061,355282.663136038
2,27007,274.0,1.0,2136,Ararat,,1282.77153558052,12827.7153558052,592499585.594238,195922.003442792
3,27009,381.0,4.0,2937,Belews Creek,,1297.24208375894,12972.4208375894,618093097.011353,191244.647442635
4,27011,721.0,7.0,5411,Boonville,,1332.47089262613,13324.7089262613,1489580093.86462,316910.589814884
5,27012,3593.0,55.0,28954,Clemmons,,1240.93389514402,12409.3389514402,1176567385.86804,255774.303165276
6,27013,920.0,12.0,6495,Cleveland,,1416.47421093149,14164.7421093149,2066336247.98627,379169.285246239
7,27014,139.0,4.0,957,Cooleemee,,1452.45559038662,14524.5559038662,21479098.032959,22299.1178929161
8,27016,207.0,3.0,1682,Danbury,,1230.67776456599,12306.7776456599,1068209590.0686,211061.413302457
9,27017,1456.0,19.0,9499,Dobson,,1532.79292557111,15327.9292557111,2962951682.04883,566348.974052304
10,27018,937.0,7.0,8221,East Bend,,1139.76401897579,11397.6401897579,2331567909.96985,255811.974556888
11,27019,447.0,1.0,4234,Germanton,,1055.73925366084,10557.3925366084,977414017.819214,270248.259734795
12,27020,922.0,10.0,6104,Hamptonville,,1510.48492791612,15104.8492791612,2114111622.36755,316969.486887135
13,27021,2294.0,51.0,17979,King,,1275.93303298292,12759.3303298292,1469376476.14172,210392.900707099
14,27022,124.0,2.0,1512,Lawsonville,,820.10582010582,8201.0582010582,918745327.278442,200803.000966771
15,27023,1323.0,6.0,12775,Lewisville,,1035.61643835616,10356.1643835616,807172159.002075,183078.980128527
16,27024,394.0,3.0,2683,Lowgap,,1468.50540439806,14685.0540439806,1265827411.39758,278411.484773322
17,27025,1249.0,32.0,11117,Madison,,1123.50454259243,11235.0454259243,2714649364.33142,468723.596670606
18,27027,416.0,19.0,4017,Mayodan,,1035.59870550162,10355.9870550162,548179131.574585,172371.363079245
19,27028,3639.0,39.0,28039,Mocksville,,1297.83515817255,12978.3515817255,5475621774.30664,567238.136149725
20,27030,5491.0,121.0,37641,Mount Airy,,1458.78164767142,14587.8164767142,4824085732.75671,624989.724929863
21,27040,1332.0,11.0,13150,Pfafftown,,1012.92775665399,10129.2775665399,763349953.536133,205025.773716105
22,27041,959.0,8.0,8020,Pilot Mountain,,1195.76059850374,11957.6059850374,1629462738.40637,324677.141569035
23,27042,83.0,2.0,720,Pine Hall,,1152.77777777778,11527.7777777778,290758639.069458,113971.243586081
24,27043,711.0,7.0,6442,Pinnacle,,1103.69450481217,11036.9450481217,1935795027.06067,395674.180712496
25,27045,1281.0,10.0,9583,Rural Hall,,1336.74214755296,13367.4214755296,666085549.25769,154538.589918543
26,27046,192.0,1.0,1953,Sandy Ridge,,983.10291858679,9831.0291858679,1237681699.0647,217125.573744555
27,27047,147.0,2.0,1279,Siloam,,1149.33541829554,11493.3541829554,576295820.815674,144984.839113672
28,27048,914.0,12.0,8902,Stoneville,,1026.73556504156,10267.3556504156,2355000804.03674,325454.766660313
29,27050,458.0,5.0,4084,Tobaccoville,,1121.44955925563,11214.4955925563,703876500.567505,219088.1792708
30,27051,962.0,8.0,8287,Walkertown,,1160.85435018704,11608.5435018704,524680317.775635,151066.808563308
31,27052,1245.0,24.0,10061,Walnut Cove,,1237.45154557201,12374.5154557201,2710320219.82117,403203.611044297
32,27053,275.0,2.0,3156,Westfield,,871.356147021546,8713.56147021546,2152815477.55933,413464.446930882
33,27054,427.0,5.0,2608,Woodleaf,,1637.26993865031,16372.6993865031,778193820.583862,201172.963339102
34,27055,2134.0,30.0,14521,Yadkinville,,1469.59575786792,14695.9575786792,3115987965.39453,403366.49229781
35,27101,2359.0,44.0,24321,Winston Salem,,969.943670079355,9699.43670079355,356085731.400146,162957.922513793
36,27103,3921.0,45.0,36071,Winston Salem,,1087.02281611267,10870.2281611267,527249856.672729,146399.561156354
37,27104,3122.0,41.0,29383,Winston Salem,,1062.51914372256,10625.1914372256,337669863.683838,130394.134288752
38,27105,5208.0,50.0,40186,Winston Salem,,1295.97372219181,12959.7372219181,950547784.577881,208375.813794777
39,27106,5332.0,62.0,51378,Winston Salem,,1037.79827941921,10377.9827941921,787324720.967285,203893.681115083
40,27107,6476.0,57.0,52432,Winston Salem,,1235.12358864815,12351.2358864815,1859279716.41162,319111.813640457
41,27127,5008.0,29.0,38510,Winston Salem,,1300.44144378084,13004.4144378084,820319160.873047,213438.375685158
42,27157,49.0,0.0,5,Winston Salem,,,,827769.094482422,4216.57245655308
43,27203,3298.0,60.0,21876,Asheboro,,1507.58822453831,15075.8822453831,589408161.410522,188062.356665824
44,27205,4659.0,53.0,34549,Asheboro,,1348.51949405193,13485.1949405193,6255653514.79199,588011.232518038
45,27207,415.0,2.0,3806,Bear Creek,,1090.38360483447,10903.8360483447,2300194678.82397,473699.237818467
46,27208,216.0,3.0,1691,Bennett,,1277.35068007096,12773.5068007096,1029479783.1405,215638.108979383
47,27209,827.0,42.0,4151,Biscoe,,1992.29101421344,19922.9101421344,1198089302.20734,259108.004034657
48,27212,408.0,1.0,1600,Blanch,,2550.0,25500.0,1328181375.12305,277007.39975067
49,27214,1379.0,16.0,11747,Browns Summit,,1173.91674470077,11739.1674470077,1414533235.94788,324969.092830869
50,27215,5740.0,79.0,44892,Burlington,,1278.62425376459,12786.2425376459,1827823774.30115,298200.358945539
51,27217,6285.0,108.0,39111,Burlington,,1606.96479251362,16069.6479251362,3473433663.33496,513818.51476852
52,27229,662.0,18.0,4014,Candor,,1649.22770303936,16492.2770303936,2747739848.89313,367384.611313313
53,27231,143.0,0.0,2048,Cedar Grove,,698.2421875,6982.421875,987771348.581177,209108.769362036
54,27233,407.0,4.0,3647,Climax,,1115.98574170551,11159.8574170551,703252829.253662,187154.002103638
55,27235,544.0,13.0,4575,Colfax,,1189.07103825137,11890.7103825137,380654027.583252,148521.339190303
56,27239,1228.0,17.0,9629,Denton,,1275.3141551563,12753.141551563,4319759872.9696,429373.198159064
57,27242,273.0,5.0,2668,Eagle Springs,,1023.2383808096,10232.383808096,1480408484.01825,321391.030328654
58,27243,377.0,2.0,4665,Efland,,808.145766345123,8081.45766345123,1142332751.10315,311755.144165646
59,27244,2646.0,27.0,16259,Elon,,1627.40635955471,16274.0635955471,1541989025.453,399696.340130384
60,27248,555.0,6.0,4835,Franklinville,,1147.88004136505,11478.8004136505,942909114.352783,215710.992817749
61,27249,1536.0,13.0,13355,Gibsonville,,1150.13103706477,11501.3103706477,1679803774.77087,397477.611919868
62,27252,168.0,2.0,2264,Goldston,,742.049469964664,7420.49469964664,1142470673.17163,220926.147155476
63,27253,4555.0,57.0,31464,Graham,,1447.686244597,14476.86244597,2351372927.78931,521476.969804177
64,27258,883.0,8.0,7740,Haw River,,1140.82687338501,11408.2687338501,473631125.268677,312686.877842211
65,27260,2811.0,46.0,25696,High Point,,1093.94458281445,10939.4458281445,348441568.963501,133229.878739789
66,27262,2631.0,66.0,24764,High Point,,1062.4293329026,10624.293329026,368730084.700928,171087.864383377
67,27263,2659.0,44.0,22320,High Point,,1191.3082437276,11913.082437276,1121512604.52234,249658.228757679
68,27265,5594.0,60.0,50038,High Point,,1117.95035772813,11179.5035772813,1172957282.41284,307481.490778656
69,27268,335.0,0.0,1695,High Point,,1976.401179941,19764.01179941,2495618.64758301,8251.66869064816
70,27278,2139.0,19.0,27181,Hillsborough,,786.946764283875,7869.46764283875,2885765742.02771,502574.675043234
71,27281,347.0,3.0,3710,Jackson Springs,,935.309973045822,9353.09973045822,2095606802.2608,479969.724586594
72,27282,1733.0,27.0,16597,Jamestown,,1044.1646080617,10441.646080617,404066994.873657,168803.970950205
73,27283,341.0,5.0,2982,Julian,,1143.52783366868,11435.2783366868,711286368.914917,161239.518798817
74,27284,6713.0,85.0,56201,Kernersville,,1194.46273197986,11944.6273197986,2233069317.10205,420748.080109325
75,27288,2658.0,64.0,23585,Eden,,1126.98749205003,11269.8749205003,1951079100.05676,304615.616752016
76,27291,168.0,0.0,1538,Leasburg,,1092.32769830949,10923.2769830949,1492904663.44434,314720.365319101
77,27292,5433.0,46.0,41465,Lexington,,1310.26166646569,13102.6166646569,4270233445.18579,407599.915340798
78,27295,5536.0,67.0,39191,Lexington,,1412.56921231916,14125.6921231915,3631502180.53174,466742.919509858
79,27298,1180.0,12.0,10440,Liberty,,1130.26819923372,11302.6819923372,2639148530.03284,431527.987760386
80,27299,856.0,7.0,5254,Linwood,,1629.23486867149,16292.3486867149,822543412.257813,203597.604040365
81,27301,1348.0,21.0,10019,Mc Leansville,,1345.4436570516,13454.436570516,900133716.655151,287107.537324028
82,27302,3504.0,23.0,32302,Mebane,,1084.76255340227,10847.6255340227,3198656461.27478,644303.59427532
83,27305,197.0,1.0,1585,Milton,,1242.90220820189,12429.0220820189,687167820.539429,263836.485514183
84,27306,919.0,20.0,5945,Mount Gilead,,1545.83683767872,15458.3683767872,5305900334.83325,426306.558627535
85,27310,789.0,4.0,8562,Oak Ridge,,921.513665031535,9215.13665031535,526240082.103149,140986.043049622
86,27311,388.0,4.0,3220,Pelham,,1204.96894409938,12049.6894409938,1338371966.32642,293760.993606137
87,27312,1309.0,26.0,22205,Pittsboro,,589.506867822563,5895.06867822562,5005768374.64233,617961.777569282
88,27313,711.0,24.0,7288,Pleasant Garden,,975.576289791438,9755.76289791438,760352714.59021,181619.740165306
89,27314,88.0,1.0,1138,Prospect Hill,,773.286467486819,7732.86467486819,773578280.842896,162162.976448062
90,27315,165.0,0.0,2140,Providence,,771.028037383178,7710.28037383178,697810511.310425,179457.95829655
91,27316,916.0,15.0,7156,Ramseur,,1280.0447177194,12800.447177194,1975410509.03577,278228.393914438
92,27317,2336.0,32.0,17851,Randleman,,1308.61016189569,13086.1016189569,1700826686.43616,339539.515262609
93,27320,4319.0,59.0,38894,Reidsville,,1110.45405460997,11104.5405460997,6966725984.64832,658218.836963247
94,27325,969.0,12.0,7676,Robbins,,1262.37623762376,12623.7623762376,2401051783.47894,409075.895347679
95,27326,436.0,2.0,3692,Ruffin,,1180.93174431203,11809.3174431203,1884156536.74561,359587.547530237
96,27330,5477.0,63.0,39529,Sanford,,1385.56502820714,13855.6502820714,6011213414.18433,528161.840140257
97,27332,4063.0,32.0,33549,Sanford,,1211.0644132463,12110.644132463,2996782209.29614,417113.164836099
98,27341,638.0,4.0,5820,Seagrove,,1096.21993127148,10962.1993127148,2678433259.4787,311632.157547413
