OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,RatePer10K,properties.RatePer100K,Shape__Area,Shape__Length
1,27006,3438.0,18.0,14872,Advance,,2311.72673480366,23117.2673480366,1744189234.37061,355282.663136038
2,27007,590.0,7.0,2136,Ararat,,2762.17228464419,27621.722846442,592499585.594238,195922.003442792
3,27009,682.0,9.0,2937,Belews Creek,,2322.09737827715,23220.9737827715,618093097.011353,191244.647442635
4,27011,1547.0,16.0,5411,Boonville,,2858.99094437257,28589.9094437257,1489580093.86462,316910.589814884
5,27012,7249.0,80.0,28954,Clemmons,,2503.62644194239,25036.2644194239,1176567385.86804,255774.303165276
6,27013,1611.0,14.0,6495,Cleveland,,2480.36951501155,24803.6951501155,2066336247.98627,379169.285246239
7,27014,274.0,6.0,957,Cooleemee,,2863.11389759666,28631.1389759666,21479098.032959,22299.1178929161
8,27016,512.0,9.0,1682,Danbury,,3043.99524375743,30439.9524375743,1068209590.0686,211061.413302457
9,27017,2792.0,31.0,9499,Dobson,,2939.25676386988,29392.5676386988,2962951682.04883,566348.974052303
10,27018,2027.0,15.0,8221,East Bend,,2465.63678384625,24656.3678384625,2331567909.96985,255811.974556888
11,27019,861.0,7.0,4234,Germanton,,2033.53802550779,20335.3802550779,977414017.819214,270248.259734795
12,27020,1689.0,13.0,6104,Hamptonville,,2767.0380078637,27670.380078637,2114111622.36755,316969.486887135
13,27021,4692.0,84.0,17979,King,,2609.71132988487,26097.1132988487,1469376476.14172,210392.900707099
14,27022,308.0,4.0,1512,Lawsonville,,2037.03703703704,20370.3703703704,918745327.278442,200803.000966771
15,27023,2816.0,12.0,12775,Lewisville,,2204.30528375734,22043.0528375734,807172159.002075,183078.980128526
16,27024,731.0,6.0,2683,Lowgap,,2724.56205739843,27245.6205739843,1265827411.39758,278411.484773322
17,27025,2526.0,39.0,11117,Madison,,2272.19573625978,22721.9573625978,2714649364.33142,468723.596670607
18,27027,905.0,19.0,4017,Mayodan,,2252.92506845905,22529.2506845905,548179131.574585,172371.363079245
19,27028,7264.0,67.0,28039,Mocksville,,2590.67727094404,25906.7727094404,5475621774.30664,567238.136149726
20,27030,10677.0,199.0,37641,Mount Airy,,2836.53462979198,28365.3462979198,4824085732.75671,624989.724929864
21,27040,2739.0,19.0,13150,Pfafftown,,2082.8897338403,20828.897338403,763349953.536133,205025.773716105
22,27041,2033.0,21.0,8020,Pilot Mountain,,2534.91271820449,25349.1271820449,1629462738.40637,324677.141569035
23,27042,156.0,3.0,720,Pine Hall,,2166.66666666667,21666.6666666667,290758639.069458,113971.243586081
24,27043,1575.0,15.0,6442,Pinnacle,,2444.89289040671,24448.9289040671,1935795027.06067,395674.180712495
25,27045,2638.0,22.0,9583,Rural Hall,,2752.79140144005,27527.9140144005,666085549.25769,154538.589918543
26,27046,420.0,7.0,1953,Sandy Ridge,,2150.5376344086,21505.376344086,1237681699.0647,217125.573744555
27,27047,320.0,2.0,1279,Siloam,,2501.95465207193,25019.5465207193,576295820.815674,144984.839113672
28,27048,1992.0,23.0,8902,Stoneville,,2237.69939339474,22376.9939339474,2355000804.03674,325454.766660312
29,27050,918.0,10.0,4084,Tobaccoville,,2247.79627815867,22477.9627815867,703876500.567505,219088.1792708
30,27051,2003.0,19.0,8287,Walkertown,,2417.03873536865,24170.3873536865,524680317.775635,151066.808563308
31,27052,2435.0,39.0,10061,Walnut Cove,,2420.23655700229,24202.3655700229,2710320219.82117,403203.611044297
32,27053,640.0,9.0,3156,Westfield,,2027.88339670469,20278.8339670469,2152815477.55933,413464.446930883
33,27054,720.0,11.0,2608,Woodleaf,,2760.73619631902,27607.3619631902,778193820.583862,201172.963339102
34,27055,4263.0,51.0,14521,Yadkinville,,2935.74822670615,29357.4822670615,3115987965.39453,403366.492297811
35,27101,4651.0,61.0,24321,Winston Salem,,1912.33913079232,19123.3913079232,356085731.400146,162957.922513792
36,27103,8239.0,75.0,36071,Winston Salem,,2284.10634581797,22841.0634581797,527249856.672729,146399.561156354
37,27104,6565.0,60.0,29383,Winston Salem,,2234.28513085798,22342.8513085798,337669863.683838,130394.134288752
38,27105,10205.0,75.0,40186,Winston Salem,,2539.44159657592,25394.4159657592,950547784.577881,208375.813794777
39,27106,10693.0,89.0,51378,Winston Salem,,2081.24099809257,20812.4099809257,787324720.967285,203893.681115083
40,27107,12417.0,105.0,52432,Winston Salem,,2368.21025328044,23682.1025328044,1859279716.41162,319111.813640457
41,27127,9883.0,52.0,38510,Winston Salem,,2566.34640353155,25663.4640353155,820319160.873047,213438.375685158
42,27157,226.0,1.0,5,Winston Salem,,,,827769.094482422,4216.57245655308
43,27203,6152.0,67.0,21876,Asheboro,,2812.21429877491,28122.1429877491,589408161.410522,188062.356665824
44,27205,8384.0,69.0,34549,Asheboro,,2426.69831254161,24266.9831254161,6255653514.79199,588011.232518038
45,27207,806.0,4.0,3806,Bear Creek,,2117.70888071466,21177.0888071466,2300194678.82397,473699.237818466
46,27208,384.0,4.0,1691,Bennett,,2270.84565345949,22708.4565345949,1029479783.1405,215638.108979383
47,27209,1361.0,45.0,4151,Biscoe,,3278.72801734522,32787.2801734522,1198089302.20734,259108.004034657
48,27212,590.0,1.0,1600,Blanch,,3687.5,36875.0,1328181375.12305,277007.399750669
49,27214,2691.0,21.0,11747,Browns Summit,,2290.79765046395,22907.9765046395,1414533235.94788,324969.09283087
50,27215,11670.0,121.0,44892,Burlington,,2599.57230686982,25995.7230686982,1827823774.30115,298200.358945539
51,27217,11916.0,148.0,39111,Burlington,,3046.71320088978,30467.1320088978,3473433663.33496,513818.514768521
52,27229,1168.0,24.0,4014,Candor,,2909.81564524165,29098.1564524165,2747739848.89313,367384.611313313
53,27231,369.0,2.0,2048,Cedar Grove,,1801.7578125,18017.578125,987771348.581177,209108.769362036
54,27233,774.0,8.0,3647,Climax,,2122.29229503702,21222.9229503702,703252829.253662,187154.002103637
55,27235,978.0,16.0,4575,Colfax,,2137.70491803279,21377.0491803279,380654027.583252,148521.339190304
56,27239,2244.0,27.0,9629,Denton,,2330.46006854294,23304.6006854294,4319759872.9696,429373.198159065
57,27242,516.0,9.0,2668,Eagle Springs,,1934.03298350825,19340.3298350825,1480408484.01825,321391.030328654
58,27243,852.0,4.0,4665,Efland,,1826.36655948553,18263.6655948553,1142332751.10315,311755.144165645
59,27244,4836.0,32.0,16259,Elon,,2974.35266621563,29743.5266621563,1541989025.453,399696.340130383
60,27248,1061.0,11.0,4835,Franklinville,,2194.41571871768,21944.1571871768,942909114.352783,215710.992817748
61,27249,3091.0,29.0,13355,Gibsonville,,2314.4889554474,23144.889554474,1679803774.77087,397477.611919869
62,27252,335.0,3.0,2264,Goldston,,1479.68197879859,14796.8197879859,1142470673.17163,220926.147155477
63,27253,9083.0,92.0,31464,Graham,,2886.79125349606,28867.9125349606,2351372927.78931,521476.969804175
64,27258,1809.0,13.0,7740,Haw River,,2337.20930232558,23372.0930232558,473631125.268677,312686.877842212
65,27260,5331.0,75.0,25696,High Point,,2074.64196762142,20746.4196762142,348441568.963501,133229.878739789
66,27262,4900.0,83.0,24764,High Point,,1978.67872718462,19786.7872718462,368730084.700928,171087.864383377
67,27263,4920.0,74.0,22320,High Point,,2204.30107526882,22043.0107526882,1121512604.52234,249658.228757679
68,27265,10747.0,98.0,50038,High Point,,2147.76769655062,21477.6769655062,1172957282.41284,307481.490778656
69,27268,404.0,0.0,1695,High Point,,2383.4808259587,23834.808259587,2495618.64758301,8251.66869064816
70,27278,5051.0,29.0,27181,Hillsborough,,1858.28335969979,18582.8335969979,2885765742.02771,502574.675043234
71,27281,713.0,7.0,3710,Jackson Springs,,1921.83288409704,19218.3288409703,2095606802.2608,479969.724586593
72,27282,3349.0,34.0,16597,Jamestown,,2017.83454841236,20178.3454841236,404066994.873657,168803.970950205
73,27283,665.0,7.0,2982,Julian,,2230.04694835681,22300.4694835681,711286368.914917,161239.518798817
74,27284,13174.0,143.0,56201,Kernersville,,2344.08640415651,23440.8640415651,2233069317.10205,420748.080109326
75,27288,6044.0,88.0,23585,Eden,,2562.645749417,25626.45749417,1951079100.05676,304615.616752016
76,27291,316.0,1.0,1538,Leasburg,,2054.61638491547,20546.1638491547,1492904663.44434,314720.3653191
77,27292,10527.0,88.0,41465,Lexington,,2538.76763535512,25387.6763535512,4270233445.18579,407599.915340798
78,27295,10788.0,94.0,39191,Lexington,,2752.67280753234,27526.7280753234,3631502180.53174,466742.919509857
79,27298,2380.0,19.0,10440,Liberty,,2279.69348659004,22796.9348659004,2639148530.03284,431527.987760386
80,27299,1585.0,13.0,5254,Linwood,,3016.74914350971,30167.4914350971,822543412.257813,203597.604040364
81,27301,2591.0,28.0,10019,Mc Leansville,,2586.08643577203,25860.8643577203,900133716.655151,287107.537324028
82,27302,7917.0,36.0,32302,Mebane,,2450.93183084639,24509.3183084639,3198656461.27478,644303.594275321
83,27305,339.0,1.0,1585,Milton,,2138.80126182965,21388.0126182965,687167820.539429,263836.485514183
84,27306,1629.0,24.0,5945,Mount Gilead,,2740.11774600505,27401.1774600505,5305900334.83325,426306.558627535
85,27310,1694.0,6.0,8562,Oak Ridge,,1978.50969399673,19785.0969399673,526240082.103149,140986.043049622
86,27311,783.0,6.0,3220,Pelham,,2431.67701863354,24316.7701863354,1338371966.32642,293760.993606137
87,27312,3435.0,32.0,22205,Pittsboro,,1546.94888538617,15469.4888538617,5005768374.64233,617961.777569282
88,27313,1429.0,33.0,7288,Pleasant Garden,,1960.75740944018,19607.5740944018,760352714.59021,181619.740165306
89,27314,203.0,2.0,1138,Prospect Hill,,1783.83128295255,17838.3128295255,773578280.842896,162162.976448062
90,27315,362.0,1.0,2140,Providence,,1691.58878504673,16915.8878504673,697810511.310425,179457.95829655
91,27316,1669.0,20.0,7156,Ramseur,,2332.30855226383,23323.0855226383,1975410509.03577,278228.393914437
92,27317,4535.0,46.0,17851,Randleman,,2540.47392302952,25404.7392302952,1700826686.43616,339539.515262609
93,27320,9113.0,85.0,38894,Reidsville,,2343.03491541112,23430.3491541112,6966725984.64832,658218.836963247
94,27325,1697.0,21.0,7676,Robbins,,2210.7868681605,22107.868681605,2401051783.47894,409075.895347678
95,27326,860.0,4.0,3692,Ruffin,,2329.36078006501,23293.6078006501,1884156536.74561,359587.547530237
96,27330,10290.0,93.0,39529,Sanford,,2603.15211616788,26031.5211616788,6011213414.18433,528161.840140258
97,27332,7778.0,61.0,33549,Sanford,,2318.39995230856,23183.9995230856,2996782209.29614,417113.1648361
98,27341,1232.0,8.0,5820,Seagrove,,2116.83848797251,21168.3848797251,2678433259.4787,311632.157547413
99,27343,304.0,0.0,1840,Semora,,1652.17391304348,16521.7391304348,1390260353.39624,348769.311430722
100,27344,4519.0,42.0,19290,Siler City,,2342.6645930534,23426.645930534,4591228058.44531,607903.308882545
101,27349,1576.0,9.0,5850,Snow Camp,,2694.01709401709,26940.1709401709,1831279532.651,381750.490582419
102,27350,1602.0,19.0,7508,Sophia,,2133.72402770378,21337.2402770378,1066449848.573,204602.636460839
103,27355,611.0,3.0,3196,Staley,,1911.76470588235,19117.6470588235,1016358702.6969,245160.332752788
104,27356,738.0,9.0,3513,Star,,2100.76857386849,21007.6857386849,1815293543.21783,348288.379855761
105,27357,2309.0,32.0,8325,Stokesdale,,2773.57357357357,27735.7357357357,1273124268.28796,223115.118835702
106,27358,2785.0,13.0,15960,Summerfield,,1744.98746867168,17449.8746867168,1557557662.14905,323017.176053331
107,27360,11752.0,129.0,48331,Thomasville,,2431.56566179057,24315.6566179057,2458732404.91687,372395.85217249
108,27370,3789.0,62.0,14622,Trinity,,2591.30077964711,25913.0077964711,1663817222.16028,344702.900725307
109,27371,1986.0,23.0,7778,Troy,,2553.3556184109,25533.556184109,4076136455.00793,473833.643450898
110,27376,2236.0,28.0,9884,West End,,2262.2420072845,22622.420072845,1781050002.06519,320932.333330313
111,27377,2682.0,15.0,9597,Whitsett,,2794.62331978743,27946.2331978743,736936774.92627,183024.518653502
112,27379,1345.0,27.0,6057,Yanceyville,,2220.57123988773,22205.7123988773,2663338769.75159,422550.665080929
113,27401,4689.0,48.0,20221,Greensboro,,2318.87641560754,23188.7641560754,171748092.127686,100334.769337553
114,27403,3567.0,32.0,21278,Greensboro,,1676.37935896231,16763.7935896231,159396286.028687,87465.254538865
115,27405,12104.0,98.0,52510,Greensboro,,2305.08474576271,23050.8474576271,886695637.391357,284328.52642169
116,27406,13929.0,166.0,60755,Greensboro,,2292.65081063287,22926.5081063287,1894160074.00403,327705.317343954
117,27407,10715.0,111.0,49837,Greensboro,,2150.00902943596,21500.0902943596,840498790.451172,227731.576408349
