OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,RatePer10K,properties.RatePer100K,Shape__Area,Shape__Length
1,27006,4291.0,22.0,14872,Advance,,2885.28778913394,28852.8778913394,1744189234.37061,355282.663136038
2,27007,723.0,9.0,2136,Ararat,,3384.83146067416,33848.3146067416,592499585.594238,195922.003442792
3,27009,809.0,9.0,2937,Belews Creek,,2754.5114061968,27545.114061968,618093097.011353,191244.647442635
4,27011,1956.0,20.0,5411,Boonville,,3614.85862132693,36148.5862132693,1489580093.86462,316910.589814884
5,27012,9044.0,88.0,28954,Clemmons,,3123.57532637978,31235.7532637977,1176567385.86804,255774.303165276
6,27013,1877.0,14.0,6495,Cleveland,,2889.91531947652,28899.1531947652,2066336247.98627,379169.285246239
7,27014,323.0,6.0,957,Cooleemee,,3375.13061650993,33751.3061650993,21479098.032959,22299.1178929161
8,27016,655.0,11.0,1682,Danbury,,3894.17360285375,38941.7360285375,1068209590.0686,211061.413302457
9,27017,3420.0,35.0,9499,Dobson,,3600.37898726182,36003.7898726182,2962951682.04883,566348.974052303
10,27018,2522.0,16.0,8221,East Bend,,3067.75331468191,30677.5331468191,2331567909.96985,255811.974556888
11,27019,1057.0,8.0,4234,Germanton,,2496.45725082664,24964.5725082664,977414017.819214,270248.259734795
12,27020,2168.0,14.0,6104,Hamptonville,,3551.76933158585,35517.6933158585,2114111622.36755,316969.486887135
13,27021,5908.0,94.0,17979,King,,3286.05595416875,32860.5595416875,1469376476.14172,210392.900707099
14,27022,379.0,4.0,1512,Lawsonville,,2506.61375661376,25066.1375661376,918745327.278442,200803.000966771
15,27023,3622.0,17.0,12775,Lewisville,,2835.22504892368,28352.2504892368,807172159.002075,183078.980128526
16,27024,873.0,10.0,2683,Lowgap,,3253.82035035408,32538.2035035408,1265827411.39758,278411.484773322
17,27025,2978.0,51.0,11117,Madison,,2678.78024646937,26787.8024646937,2714649364.33142,468723.596670607
18,27027,1080.0,23.0,4017,Mayodan,,2688.57356235997,26885.7356235997,548179131.574585,172371.363079245
19,27028,8767.0,88.0,28039,Mocksville,,3126.71635935661,31267.1635935661,5475621774.30664,567238.136149726
20,27030,13193.0,225.0,37641,Mount Airy,,3504.95470364762,35049.5470364762,4824085732.75671,624989.724929864
21,27040,3532.0,22.0,13150,Pfafftown,,2685.93155893536,26859.3155893536,763349953.536133,205025.773716105
22,27041,2506.0,31.0,8020,Pilot Mountain,,3124.68827930175,31246.8827930175,1629462738.40637,324677.141569035
23,27042,191.0,3.0,720,Pine Hall,,2652.77777777778,26527.7777777778,290758639.069458,113971.243586081
24,27043,1943.0,16.0,6442,Pinnacle,,3016.14405464142,30161.4405464142,1935795027.06067,395674.180712495
25,27045,3267.0,25.0,9583,Rural Hall,,3409.16205781071,34091.6205781071,666085549.25769,154538.589918543
26,27046,502.0,8.0,1953,Sandy Ridge,,2570.40450588838,25704.0450588838,1237681699.0647,217125.573744555
27,27047,418.0,3.0,1279,Siloam,,3268.17826426896,32681.7826426896,576295820.815674,144984.839113672
28,27048,2302.0,27.0,8902,Stoneville,,2585.93574477645,25859.3574477645,2355000804.03674,325454.766660312
29,27050,1165.0,14.0,4084,Tobaccoville,,2852.59549461312,28525.9549461312,703876500.567505,219088.1792708
30,27051,2477.0,21.0,8287,Walkertown,,2989.01894533607,29890.1894533607,524680317.775635,151066.808563308
