OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,RatePer10K,properties.RatePer100K,Shape__Area,Shape__Length
1,27006,4792.0,28.0,14872,Advance,,3222.16245293168,32221.6245293168,1744189234.37061,355282.663136038
2,27007,824.0,9.0,2136,Ararat,,3857.67790262172,38576.7790262172,592499585.594238,195922.003442792
3,27009,881.0,9.0,2937,Belews Creek,,2999.65951651345,29996.5951651345,618093097.011353,191244.647442635
4,27011,2188.0,23.0,5411,Boonville,,4043.61485862133,40436.1485862133,1489580093.86462,316910.589814884
5,27012,10103.0,98.0,28954,Clemmons,,3489.32789942668,34893.2789942668,1176567385.86804,255774.303165276
6,27013,2020.0,18.0,6495,Cleveland,,3110.08468052348,31100.8468052348,2066336247.98627,379169.285246239
7,27014,364.0,6.0,957,Cooleemee,,3803.55276907001,38035.5276907001,21479098.032959,22299.1178929161
8,27016,738.0,12.0,1682,Danbury,,4387.63376932224,43876.3376932224,1068209590.0686,211061.413302457
9,27017,3818.0,39.0,9499,Dobson,,4019.37046004843,40193.7046004843,2962951682.04883,566348.974052303
10,27018,2775.0,18.0,8221,East Bend,,3375.5017637757,33755.017637757,2331567909.96985,255811.974556888
11,27019,1201.0,10.0,4234,Germanton,,2836.56117146906,28365.6117146906,977414017.819214,270248.259734795
12,27020,2361.0,18.0,6104,Hamptonville,,3867.95543905636,38679.5543905636,2114111622.36755,316969.486887135
13,27021,6776.0,102.0,17979,King,,3768.84142610824,37688.4142610824,1469376476.14172,210392.900707099
14,27022,437.0,4.0,1512,Lawsonville,,2890.21164021164,28902.1164021164,918745327.278442,200803.000966771
15,27023,3999.0,22.0,12775,Lewisville,,3130.33268101761,31303.3268101761,807172159.002075,183078.980128526
16,27024,938.0,13.0,2683,Lowgap,,3496.08647036899,34960.8647036899,1265827411.39758,278411.484773322
17,27025,3262.0,54.0,11117,Madison,,2934.24485022938,29342.4485022938,2714649364.33142,468723.596670607
18,27027,1204.0,23.0,4017,Mayodan,,2997.26163803834,29972.6163803834,548179131.574585,172371.363079245
