OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,RatePer10K,properties.RatePer100K,Shape__Area,Shape__Length
1,27006,4572.0,26.0,14872,Advance,,3074.23345884884,30742.3345884884,1744189234.37061,355282.663136038
2,27007,771.0,9.0,2136,Ararat,,3609.55056179775,36095.5056179775,592499585.594238,195922.003442792
3,27009,853.0,9.0,2937,Belews Creek,,2904.3241402792,29043.241402792,618093097.011353,191244.647442635
4,27011,2087.0,22.0,5411,Boonville,,3856.95804841989,38569.5804841989,1489580093.86462,316910.589814884
5,27012,9638.0,95.0,28954,Clemmons,,3328.7283276922,33287.283276922,1176567385.86804,255774.303165276
6,27013,1957.0,17.0,6495,Cleveland,,3013.0869899923,30130.869899923,2066336247.98627,379169.285246239
7,27014,346.0,6.0,957,Cooleemee,,3615.46499477534,36154.6499477534,21479098.032959,22299.1178929161
8,27016,697.0,11.0,1682,Danbury,,4143.87633769322,41438.7633769322,1068209590.0686,211061.413302457
9,27017,3631.0,35.0,9499,Dobson,,3822.50763238236,38225.0763238236,2962951682.04883,566348.974052303
10,27018,2639.0,18.0,8221,East Bend,,3210.07176742489,32100.7176742489,2331567909.96985,255811.974556888
11,27019,1148.0,9.0,4234,Germanton,,2711.38403401039,27113.8403401039,977414017.819214,270248.259734795
12,27020,2270.0,16.0,6104,Hamptonville,,3718.87287024902,37188.7287024902,2114111622.36755,316969.486887135
13,27021,6414.0,97.0,17979,King,,3567.4954113132,35674.954113132,1469376476.14172,210392.900707099
14,27022,418.0,4.0,1512,Lawsonville,,2764.55026455026,27645.5026455026,918745327.278442,200803.000966771
15,27023,3832.0,18.0,12775,Lewisville,,2999.60861056751,29996.0861056751,807172159.002075,183078.980128526
16,27024,914.0,11.0,2683,Lowgap,,3406.63436451733,34066.3436451733,1265827411.39758,278411.484773322
17,27025,3131.0,52.0,11117,Madison,,2816.40730412881,28164.0730412881,2714649364.33142,468723.596670607
18,27027,1141.0,23.0,4017,Mayodan,,2840.42818023401,28404.2818023401,548179131.574585,172371.363079245
19,27028,9249.0,89.0,28039,Mocksville,,3298.61977959271,32986.1977959271,5475621774.30664,567238.136149726
20,27030,14010.0,231.0,37641,Mount Airy,,3722.00526022157,37220.0526022157,4824085732.75671,624989.724929864
21,27040,3774.0,23.0,13150,Pfafftown,,2869.96197718631,28699.6197718631,763349953.536133,205025.773716105
22,27041,2668.0,32.0,8020,Pilot Mountain,,3326.68329177057,33266.8329177057,1629462738.40637,324677.141569035
23,27042,200.0,3.0,720,Pine Hall,,2777.77777777778,27777.7777777778,290758639.069458,113971.243586081
24,27043,2078.0,17.0,6442,Pinnacle,,3225.70630239056,32257.0630239056,1935795027.06067,395674.180712495
25,27045,3448.0,26.0,9583,Rural Hall,,3598.03819263279,35980.3819263279,666085549.25769,154538.589918543
26,27046,541.0,8.0,1953,Sandy Ridge,,2770.09728622632,27700.9728622632,1237681699.0647,217125.573744555
27,27047,444.0,3.0,1279,Siloam,,3471.4620797498,34714.620797498,576295820.815674,144984.839113672
28,27048,2402.0,27.0,8902,Stoneville,,2698.27005167378,26982.7005167378,2355000804.03674,325454.766660312
29,27050,1252.0,14.0,4084,Tobaccoville,,3065.62193927522,30656.2193927522,703876500.567505,219088.1792708
30,27051,2647.0,24.0,8287,Walkertown,,3194.15952696995,31941.5952696995,524680317.775635,151066.808563308
31,27052,3211.0,46.0,10061,Walnut Cove,,3191.53165689295,31915.3165689295,2710320219.82117,403203.611044297
32,27053,851.0,9.0,3156,Westfield,,2696.45120405577,26964.5120405577,2152815477.55933,413464.446930883
33,27054,869.0,13.0,2608,Woodleaf,,3332.05521472393,33320.5521472393,778193820.583862,201172.963339102
34,27055,5955.0,63.0,14521,Yadkinville,,4100.95723435025,41009.5723435025,3115987965.39453,403366.492297811
35,27101,6442.0,66.0,24321,Winston Salem,,2648.73977221331,26487.3977221331,356085731.400146,162957.922513792
36,27103,11204.0,95.0,36071,Winston Salem,,3106.09631005517,31060.9631005517,527249856.672729,146399.561156354
37,27104,8886.0,69.0,29383,Winston Salem,,3024.19766531668,30241.9766531668,337669863.683838,130394.134288752
38,27105,12834.0,88.0,40186,Winston Salem,,3193.64952968696,31936.4952968696,950547784.577881,208375.813794777
39,27106,14459.0,111.0,51378,Winston Salem,,2814.23955778738,28142.3955778738,787324720.967285,203893.681115083
40,27107,15418.0,118.0,52432,Winston Salem,,2940.5706438816,29405.706438816,1859279716.41162,319111.813640457
41,27127,12754.0,61.0,38510,Winston Salem,,3311.86704752012,33118.6704752012,820319160.873047,213438.375685158
42,27157,215.0,1.0,5,Winston Salem,,,,827769.094482422,4216.57245655308
43,27203,7466.0,86.0,21876,Asheboro,,3412.87255439751,34128.7255439751,589408161.410522,188062.356665824
44,27205,10232.0,89.0,34549,Asheboro,,2961.59078410374,29615.9078410374,6255653514.79199,588011.232518038
45,27207,1033.0,5.0,3806,Bear Creek,,2714.13557540725,27141.3557540725,2300194678.82397,473699.237818466
46,27208,473.0,4.0,1691,Bennett,,2797.16144293318,27971.6144293318,1029479783.1405,215638.108979383
47,27209,1569.0,53.0,4151,Biscoe,,3779.81209347145,37798.1209347145,1198089302.20734,259108.004034657
48,27212,672.0,1.0,1600,Blanch,,4200.0,42000.0,1328181375.12305,277007.399750669
49,27214,3487.0,27.0,11747,Browns Summit,,2968.41746828978,29684.1746828978,1414533235.94788,324969.09283087
50,27215,15242.0,154.0,44892,Burlington,,3395.25973447385,33952.5973447385,1827823774.30115,298200.358945539
51,27217,14852.0,171.0,39111,Burlington,,3797.39715169645,37973.9715169645,3473433663.33496,513818.514768521
52,27229,1352.0,25.0,4014,Candor,,3368.21126058794,33682.1126058794,2747739848.89313,367384.611313313
53,27231,524.0,2.0,2048,Cedar Grove,,2558.59375,25585.9375,987771348.581177,209108.769362036
54,27233,973.0,8.0,3647,Climax,,2667.9462571977,26679.462571977,703252829.253662,187154.002103637
55,27235,1400.0,16.0,4575,Colfax,,3060.10928961749,30601.0928961749,380654027.583252,148521.339190304
56,27239,2776.0,30.0,9629,Denton,,2882.9577318517,28829.577318517,4319759872.9696,429373.198159065
57,27242,627.0,9.0,2668,Eagle Springs,,2350.07496251874,23500.7496251874,1480408484.01825,321391.030328654
58,27243,1190.0,6.0,4665,Efland,,2550.91103965702,25509.1103965702,1142332751.10315,311755.144165645
59,27244,6062.0,37.0,16259,Elon,,3728.3965803555,37283.965803555,1541989025.453,399696.340130383
60,27248,1303.0,14.0,4835,Franklinville,,2694.93278179938,26949.3278179938,942909114.352783,215710.992817748
61,27249,4058.0,33.0,13355,Gibsonville,,3038.56233620367,30385.6233620367,1679803774.77087,397477.611919869
62,27252,430.0,4.0,2264,Goldston,,1899.29328621908,18992.9328621908,1142470673.17163,220926.147155477
63,27253,11449.0,106.0,31464,Graham,,3638.76175947114,36387.6175947114,2351372927.78931,521476.969804175
64,27258,2320.0,17.0,7740,Haw River,,2997.41602067183,29974.1602067183,473631125.268677,312686.877842212
65,27260,7155.0,94.0,25696,High Point,,2784.4800747198,27844.800747198,348441568.963501,133229.878739789
66,27262,6515.0,98.0,24764,High Point,,2630.83508318527,26308.3508318527,368730084.700928,171087.864383377
67,27263,6278.0,91.0,22320,High Point,,2812.72401433692,28127.2401433692,1121512604.52234,249658.228757679
68,27265,14369.0,116.0,50038,High Point,,2871.61757064631,28716.1757064631,1172957282.41284,307481.490778656
69,27268,490.0,0.0,1695,High Point,,2890.85545722714,28908.5545722714,2495618.64758301,8251.66869064816
70,27278,7518.0,33.0,27181,Hillsborough,,2765.90265258821,27659.0265258821,2885765742.02771,502574.675043234
71,27281,904.0,7.0,3710,Jackson Springs,,2436.6576819407,24366.576819407,2095606802.2608,479969.724586593
72,27282,4574.0,49.0,16597,Jamestown,,2755.91974453214,27559.1974453214,404066994.873657,168803.970950205
73,27283,826.0,8.0,2982,Julian,,2769.95305164319,27699.5305164319,711286368.914917,161239.518798817
74,27284,17286.0,171.0,56201,Kernersville,,3075.74598316756,30757.4598316756,2233069317.10205,420748.080109326
