OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,RatePer10K,properties.RatePer100K,Shape__Area,Shape__Length
1,27006,1951.0,16.0,14872,Advance,,1311.86121570737,13118.6121570737,1744189234.37061,355282.663136038
2,27007,325.0,3.0,2136,Ararat,,1521.53558052434,15215.3558052434,592499585.594238,195922.003442792
3,27009,423.0,6.0,2937,Belews Creek,,1440.24514811032,14402.4514811032,618093097.011353,191244.647442635
4,27011,835.0,9.0,5411,Boonville,,1543.1528368139,15431.528368139,1489580093.86462,316910.589814884
5,27012,3986.0,62.0,28954,Clemmons,,1376.66643641638,13766.6643641638,1176567385.86804,255774.303165276
6,27013,1021.0,13.0,6495,Cleveland,,1571.97844495766,15719.7844495766,2066336247.98627,379169.285246239
7,27014,171.0,5.0,957,Cooleemee,,1786.83385579937,17868.3385579937,21479098.032959,22299.1178929161
8,27016,278.0,4.0,1682,Danbury,,1652.79429250892,16527.9429250892,1068209590.0686,211061.413302457
9,27017,1654.0,21.0,9499,Dobson,,1741.23591957048,17412.3591957048,2962951682.04883,566348.974052304
10,27018,1065.0,10.0,8221,East Bend,,1295.46283907067,12954.6283907067,2331567909.96985,255811.974556888
11,27019,526.0,2.0,4234,Germanton,,1242.32404345772,12423.2404345772,977414017.819214,270248.259734795
12,27020,1043.0,11.0,6104,Hamptonville,,1708.71559633028,17087.1559633028,2114111622.36755,316969.486887135
13,27021,2567.0,56.0,17979,King,,1427.77685077034,14277.7685077034,1469376476.14172,210392.900707099
14,27022,167.0,3.0,1512,Lawsonville,,1104.49735449735,11044.9735449735,918745327.278442,200803.000966771
15,27023,1475.0,8.0,12775,Lewisville,,1154.5988258317,11545.988258317,807172159.002075,183078.980128527
16,27024,437.0,4.0,2683,Lowgap,,1628.77376071562,16287.7376071562,1265827411.39758,278411.484773322
17,27025,1459.0,32.0,11117,Madison,,1312.4044256544,13124.044256544,2714649364.33142,468723.596670606
18,27027,497.0,19.0,4017,Mayodan,,1237.24172267862,12372.4172267862,548179131.574585,172371.363079245
19,27028,4281.0,54.0,28039,Mocksville,,1526.80195442063,15268.0195442063,5475621774.30664,567238.136149725
20,27030,6367.0,139.0,37641,Mount Airy,,1691.50660184373,16915.0660184373,4824085732.75671,624989.724929863
21,27040,1498.0,13.0,13150,Pfafftown,,1139.16349809886,11391.6349809886,763349953.536133,205025.773716105
22,27041,1199.0,11.0,8020,Pilot Mountain,,1495.01246882793,14950.1246882793,1629462738.40637,324677.141569035
23,27042,92.0,2.0,720,Pine Hall,,1277.77777777778,12777.7777777778,290758639.069458,113971.243586081
24,27043,861.0,10.0,6442,Pinnacle,,1336.54144675567,13365.4144675567,1935795027.06067,395674.180712496
25,27045,1447.0,12.0,9583,Rural Hall,,1509.96556401962,15099.6556401962,666085549.25769,154538.589918543
26,27046,240.0,5.0,1953,Sandy Ridge,,1228.87864823349,12288.7864823349,1237681699.0647,217125.573744555
27,27047,174.0,2.0,1279,Siloam,,1360.43784206411,13604.3784206411,576295820.815674,144984.839113672
28,27048,1100.0,12.0,8902,Stoneville,,1235.67737587059,12356.7737587059,2355000804.03674,325454.766660313
29,27050,530.0,7.0,4084,Tobaccoville,,1297.74730656219,12977.4730656219,703876500.567505,219088.1792708
30,27051,1128.0,12.0,8287,Walkertown,,1361.16809460601,13611.6809460601,524680317.775635,151066.808563308
31,27052,1428.0,29.0,10061,Walnut Cove,,1419.34201371633,14193.4201371633,2710320219.82117,403203.611044297
32,27053,352.0,5.0,3156,Westfield,,1115.33586818758,11153.3586818758,2152815477.55933,413464.446930882
33,27054,469.0,7.0,2608,Woodleaf,,1798.31288343558,17983.1288343558,778193820.583862,201172.963339102
34,27055,2395.0,32.0,14521,Yadkinville,,1649.33544521727,16493.3544521727,3115987965.39453,403366.49229781
35,27101,2643.0,49.0,24321,Winston Salem,,1086.71518440854,10867.1518440854,356085731.400146,162957.922513793
36,27103,4409.0,49.0,36071,Winston Salem,,1222.31155221646,12223.1155221646,527249856.672729,146399.561156354
37,27104,3436.0,45.0,29383,Winston Salem,,1169.38365721676,11693.8365721676,337669863.683838,130394.134288752
38,27105,5850.0,58.0,40186,Winston Salem,,1455.73085154034,14557.3085154034,950547784.577881,208375.813794777
39,27106,5945.0,66.0,51378,Winston Salem,,1157.11004710187,11571.1004710187,787324720.967285,203893.681115083
40,27107,7308.0,69.0,52432,Winston Salem,,1393.80530973451,13938.0530973451,1859279716.41162,319111.813640457
