OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,RatePer10K,properties.RatePer100K,Shape__Area,Shape__Length
1,27006,3461.0,18.0,14872,Advance,,2327.1920387305,23271.920387305,1744189234.37061,355282.663136038
2,27007,590.0,7.0,2136,Ararat,,2762.17228464419,27621.722846442,592499585.594238,195922.003442792
3,27009,682.0,9.0,2937,Belews Creek,,2322.09737827715,23220.9737827715,618093097.011353,191244.647442635
4,27011,1554.0,17.0,5411,Boonville,,2871.9275549806,28719.2755498059,1489580093.86462,316910.589814884
5,27012,7296.0,80.0,28954,Clemmons,,2519.85908682738,25198.5908682738,1176567385.86804,255774.303165276
6,27013,1616.0,14.0,6495,Cleveland,,2488.06774441878,24880.6774441878,2066336247.98627,379169.285246239
7,27014,275.0,6.0,957,Cooleemee,,2873.5632183908,28735.632183908,21479098.032959,22299.1178929161
8,27016,512.0,10.0,1682,Danbury,,3043.99524375743,30439.9524375743,1068209590.0686,211061.413302457
9,27017,2807.0,31.0,9499,Dobson,,2955.04789977892,29550.4789977892,2962951682.04883,566348.974052303
10,27018,2048.0,15.0,8221,East Bend,,2491.18112151806,24911.8112151806,2331567909.96985,255811.974556888
11,27019,865.0,7.0,4234,Germanton,,2042.98535663675,20429.8535663675,977414017.819214,270248.259734795
12,27020,1706.0,14.0,6104,Hamptonville,,2794.88859764089,27948.8859764089,2114111622.36755,316969.486887135
13,27021,4713.0,84.0,17979,King,,2621.39162356082,26213.9162356082,1469376476.14172,210392.900707099
14,27022,309.0,4.0,1512,Lawsonville,,2043.65079365079,20436.5079365079,918745327.278442,200803.000966771
15,27023,2839.0,12.0,12775,Lewisville,,2222.30919765166,22223.0919765166,807172159.002075,183078.980128526
16,27024,730.0,6.0,2683,Lowgap,,2720.83488632128,27208.3488632128,1265827411.39758,278411.484773322
17,27025,2538.0,39.0,11117,Madison,,2282.9900152919,22829.900152919,2714649364.33142,468723.596670607
18,27027,907.0,19.0,4017,Mayodan,,2257.90390838935,22579.0390838935,548179131.574585,172371.363079245
19,27028,7291.0,67.0,28039,Mocksville,,2600.30671564606,26003.0671564606,5475621774.30664,567238.136149726
20,27030,10702.0,199.0,37641,Mount Airy,,2843.17632368959,28431.7632368959,4824085732.75671,624989.724929864
21,27040,2764.0,19.0,13150,Pfafftown,,2101.90114068441,21019.0114068441,763349953.536133,205025.773716105
22,27041,2042.0,21.0,8020,Pilot Mountain,,2546.13466334165,25461.3466334165,1629462738.40637,324677.141569035
23,27042,156.0,3.0,720,Pine Hall,,2166.66666666667,21666.6666666667,290758639.069458,113971.243586081
24,27043,1583.0,15.0,6442,Pinnacle,,2457.31139397703,24573.1139397703,1935795027.06067,395674.180712495
25,27045,2650.0,22.0,9583,Rural Hall,,2765.31357612439,27653.1357612439,666085549.25769,154538.589918543
26,27046,419.0,7.0,1953,Sandy Ridge,,2145.41730670763,21454.1730670763,1237681699.0647,217125.573744555
27,27047,321.0,2.0,1279,Siloam,,2509.77326035966,25097.7326035966,576295820.815674,144984.839113672
28,27048,1998.0,23.0,8902,Stoneville,,2244.43945180858,22444.3945180858,2355000804.03674,325454.766660312
29,27050,920.0,10.0,4084,Tobaccoville,,2252.69343780607,22526.9343780607,703876500.567505,219088.1792708
30,27051,2014.0,19.0,8287,Walkertown,,2430.31253770967,24303.1253770967,524680317.775635,151066.808563308
31,27052,2436.0,39.0,10061,Walnut Cove,,2421.23049398668,24212.3049398668,2710320219.82117,403203.611044297
32,27053,641.0,9.0,3156,Westfield,,2031.05196451204,20310.5196451204,2152815477.55933,413464.446930883
33,27054,724.0,11.0,2608,Woodleaf,,2776.0736196319,27760.736196319,778193820.583862,201172.963339102
34,27055,4313.0,51.0,14521,Yadkinville,,2970.18111700296,29701.8111700296,3115987965.39453,403366.492297811
35,27101,4694.0,61.0,24321,Winston Salem,,1930.01932486329,19300.1932486329,356085731.400146,162957.922513792
36,27103,8301.0,76.0,36071,Winston Salem,,2301.29466884755,23012.9466884755,527249856.672729,146399.561156354
37,27104,6617.0,60.0,29383,Winston Salem,,2251.98243882517,22519.8243882517,337669863.683838,130394.134288752
38,27105,10248.0,75.0,40186,Winston Salem,,2550.14184044195,25501.4184044195,950547784.577881,208375.813794777
39,27106,10774.0,90.0,51378,Winston Salem,,2097.00650083693,20970.0650083693,787324720.967285,203893.681115083
40,27107,12449.0,105.0,52432,Winston Salem,,2374.31339639915,23743.1339639915,1859279716.41162,319111.813640457
41,27127,9931.0,53.0,38510,Winston Salem,,2578.81069851987,25788.1069851987,820319160.873047,213438.375685158
42,27157,226.0,1.0,5,Winston Salem,,,,827769.094482422,4216.57245655308
43,27203,6167.0,69.0,21876,Asheboro,,2819.071128177,28190.71128177,589408161.410522,188062.356665824
44,27205,8407.0,69.0,34549,Asheboro,,2433.35552403832,24333.5552403832,6255653514.79199,588011.232518038
45,27207,815.0,4.0,3806,Bear Creek,,2141.35575407252,21413.5575407252,2300194678.82397,473699.237818466
46,27208,384.0,4.0,1691,Bennett,,2270.84565345949,22708.4565345949,1029479783.1405,215638.108979383
47,27209,1363.0,45.0,4151,Biscoe,,3283.54613346182,32835.4613346182,1198089302.20734,259108.004034657
48,27212,590.0,1.0,1600,Blanch,,3687.5,36875.0,1328181375.12305,277007.399750669
49,27214,2737.0,22.0,11747,Browns Summit,,2329.95658465991,23299.5658465991,1414533235.94788,324969.09283087
50,27215,11739.0,123.0,44892,Burlington,,2614.94252873563,26149.4252873563,1827823774.30115,298200.358945539
51,27217,11958.0,157.0,39111,Burlington,,3057.45186776099,30574.5186776099,3473433663.33496,513818.514768521
52,27229,1169.0,24.0,4014,Candor,,2912.30692575984,29123.0692575984,2747739848.89313,367384.611313313
53,27231,374.0,2.0,2048,Cedar Grove,,1826.171875,18261.71875,987771348.581177,209108.769362036
54,27233,782.0,8.0,3647,Climax,,2144.22813271182,21442.2813271182,703252829.253662,187154.002103637
55,27235,986.0,16.0,4575,Colfax,,2155.1912568306,21551.912568306,380654027.583252,148521.339190304
56,27239,2245.0,27.0,9629,Denton,,2331.49859798525,23314.9859798525,4319759872.9696,429373.198159065
57,27242,519.0,9.0,2668,Eagle Springs,,1945.27736131934,19452.7736131934,1480408484.01825,321391.030328654
