OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,RatePer10K,properties.RatePer100K,Shape__Area,Shape__Length
1,27006,1935.0,16.0,14872,Advance,,1301.10274341044,13011.0274341044,1744189234.37061,355282.663136038
2,27007,315.0,3.0,2136,Ararat,,1474.7191011236,14747.191011236,592499585.594238,195922.003442792
3,27009,420.0,5.0,2937,Belews Creek,,1430.03064351379,14300.3064351379,618093097.011353,191244.647442635
4,27011,828.0,9.0,5411,Boonville,,1530.21622620588,15302.1622620588,1489580093.86462,316910.589814884
5,27012,3958.0,62.0,28954,Clemmons,,1366.99592457001,13669.9592457001,1176567385.86804,255774.303165276
6,27013,1014.0,12.0,6495,Cleveland,,1561.20092378753,15612.0092378753,2066336247.98627,379169.285246239
7,27014,168.0,5.0,957,Cooleemee,,1755.48589341693,17554.8589341693,21479098.032959,22299.1178929161
8,27016,276.0,4.0,1682,Danbury,,1640.90368608799,16409.0368608799,1068209590.0686,211061.413302457
9,27017,1640.0,21.0,9499,Dobson,,1726.49752605537,17264.9752605537,2962951682.04883,566348.974052304
10,27018,1060.0,10.0,8221,East Bend,,1289.38085391072,12893.8085391072,2331567909.96985,255811.974556888
11,27019,516.0,2.0,4234,Germanton,,1218.70571563533,12187.0571563533,977414017.819214,270248.259734795
12,27020,1027.0,11.0,6104,Hamptonville,,1682.50327653997,16825.0327653997,2114111622.36755,316969.486887135
13,27021,2527.0,56.0,17979,King,,1405.52867233995,14055.2867233995,1469376476.14172,210392.900707099
14,27022,162.0,3.0,1512,Lawsonville,,1071.42857142857,10714.2857142857,918745327.278442,200803.000966771
15,27023,1464.0,8.0,12775,Lewisville,,1145.98825831703,11459.8825831703,807172159.002075,183078.980128527
16,27024,434.0,4.0,2683,Lowgap,,1617.59224748416,16175.9224748416,1265827411.39758,278411.484773322
17,27025,1437.0,32.0,11117,Madison,,1292.61491409553,12926.1491409553,2714649364.33142,468723.596670606
18,27027,488.0,19.0,4017,Mayodan,,1214.83694299228,12148.3694299228,548179131.574585,172371.363079245
19,27028,4224.0,51.0,28039,Mocksville,,1506.47312671636,15064.7312671636,5475621774.30664,567238.136149725
20,27030,6246.0,136.0,37641,Mount Airy,,1659.36080337929,16593.6080337929,4824085732.75671,624989.724929863
21,27040,1489.0,13.0,13150,Pfafftown,,1132.31939163498,11323.1939163498,763349953.536133,205025.773716105
22,27041,1186.0,11.0,8020,Pilot Mountain,,1478.8029925187,14788.029925187,1629462738.40637,324677.141569035
23,27042,91.0,2.0,720,Pine Hall,,1263.88888888889,12638.8888888889,290758639.069458,113971.243586081
24,27043,852.0,9.0,6442,Pinnacle,,1322.57063023906,13225.7063023906,1935795027.06067,395674.180712496
25,27045,1425.0,12.0,9583,Rural Hall,,1487.008243765,14870.08243765,666085549.25769,154538.589918543
26,27046,236.0,5.0,1953,Sandy Ridge,,1208.3973374296,12083.973374296,1237681699.0647,217125.573744555
27,27047,172.0,2.0,1279,Siloam,,1344.80062548866,13448.0062548866,576295820.815674,144984.839113672
28,27048,1062.0,12.0,8902,Stoneville,,1192.99033924961,11929.9033924961,2355000804.03674,325454.766660313
29,27050,525.0,6.0,4084,Tobaccoville,,1285.50440744368,12855.0440744368,703876500.567505,219088.1792708
30,27051,1113.0,12.0,8287,Walkertown,,1343.06745505008,13430.6745505008,524680317.775635,151066.808563308
31,27052,1408.0,28.0,10061,Walnut Cove,,1399.46327402843,13994.6327402843,2710320219.82117,403203.611044297
32,27053,347.0,4.0,3156,Westfield,,1099.49302915082,10994.9302915082,2152815477.55933,413464.446930882
33,27054,467.0,7.0,2608,Woodleaf,,1790.64417177914,17906.4417177914,778193820.583862,201172.963339102
34,27055,2372.0,32.0,14521,Yadkinville,,1633.49631568074,16334.9631568074,3115987965.39453,403366.49229781
35,27101,2623.0,48.0,24321,Winston Salem,,1078.49183832902,10784.9183832902,356085731.400146,162957.922513793
36,27103,4356.0,49.0,36071,Winston Salem,,1207.61830833634,12076.1830833634,527249856.672729,146399.561156354
37,27104,3405.0,44.0,29383,Winston Salem,,1158.83333900555,11588.3333900555,337669863.683838,130394.134288752
38,27105,5812.0,57.0,40186,Winston Salem,,1446.27482207734,14462.7482207734,950547784.577881,208375.813794777
39,27106,5882.0,66.0,51378,Winston Salem,,1144.84798941181,11448.4798941181,787324720.967285,203893.681115083
40,27107,7243.0,67.0,52432,Winston Salem,,1381.40830027464,13814.0830027464,1859279716.41162,319111.813640457
41,27127,5523.0,35.0,38510,Winston Salem,,1434.17294209296,14341.7294209296,820319160.873047,213438.375685158
42,27157,51.0,0.0,5,Winston Salem,,,,827769.094482422,4216.57245655308
43,27203,3685.0,61.0,21876,Asheboro,,1684.49442311209,16844.9442311209,589408161.410522,188062.356665824
44,27205,5229.0,56.0,34549,Asheboro,,1513.50256157921,15135.0256157921,6255653514.79199,588011.232518038
45,27207,470.0,2.0,3806,Bear Creek,,1234.8922753547,12348.922753547,2300194678.82397,473699.237818467
46,27208,241.0,3.0,1691,Bennett,,1425.19219396807,14251.9219396807,1029479783.1405,215638.108979383
47,27209,883.0,43.0,4151,Biscoe,,2127.1982654782,21271.982654782,1198089302.20734,259108.004034657
48,27212,421.0,1.0,1600,Blanch,,2631.25,26312.5,1328181375.12305,277007.39975067
49,27214,1538.0,17.0,11747,Browns Summit,,1309.27045203031,13092.7045203031,1414533235.94788,324969.092830869
50,27215,6523.0,86.0,44892,Burlington,,1453.04285841575,14530.4285841575,1827823774.30115,298200.358945539
51,27217,6984.0,113.0,39111,Burlington,,1785.68689115594,17856.8689115594,3473433663.33496,513818.51476852
52,27229,711.0,18.0,4014,Candor,,1771.30044843049,17713.0044843049,2747739848.89313,367384.611313313
53,27231,162.0,1.0,2048,Cedar Grove,,791.015625,7910.15625,987771348.581177,209108.769362036
54,27233,468.0,4.0,3647,Climax,,1283.24650397587,12832.4650397587,703252829.253662,187154.002103638
55,27235,588.0,14.0,4575,Colfax,,1285.24590163934,12852.4590163934,380654027.583252,148521.339190303
56,27239,1361.0,21.0,9629,Denton,,1413.43857098349,14134.3857098349,4319759872.9696,429373.198159064
57,27242,295.0,5.0,2668,Eagle Springs,,1105.69715142429,11056.9715142429,1480408484.01825,321391.030328654
58,27243,436.0,4.0,4665,Efland,,934.619506966774,9346.19506966774,1142332751.10315,311755.144165646
59,27244,2917.0,29.0,16259,Elon,,1794.0832769543,17940.832769543,1541989025.453,399696.340130384
60,27248,647.0,7.0,4835,Franklinville,,1338.15925542916,13381.5925542916,942909114.352783,215710.992817749
61,27249,1762.0,19.0,13355,Gibsonville,,1319.35604642456,13193.5604642456,1679803774.77087,397477.611919868
62,27252,191.0,2.0,2264,Goldston,,843.639575971731,8436.39575971731,1142470673.17163,220926.147155476
63,27253,5076.0,62.0,31464,Graham,,1613.27231121281,16132.7231121281,2351372927.78931,521476.969804177
64,27258,997.0,10.0,7740,Haw River,,1288.11369509044,12881.1369509044,473631125.268677,312686.877842211
65,27260,3215.0,52.0,25696,High Point,,1251.16749688667,12511.6749688667,348441568.963501,133229.878739789
66,27262,2976.0,68.0,24764,High Point,,1201.7444677758,12017.444677758,368730084.700928,171087.864383377
67,27263,3043.0,50.0,22320,High Point,,1363.35125448029,13633.5125448029,1121512604.52234,249658.228757679
68,27265,6235.0,68.0,50038,High Point,,1246.05299972021,12460.5299972021,1172957282.41284,307481.490778656
69,27268,337.0,0.0,1695,High Point,,1988.2005899705,19882.005899705,2495618.64758301,8251.66869064816
70,27278,2375.0,24.0,27181,Hillsborough,,873.772120231044,8737.72120231044,2885765742.02771,502574.675043234
71,27281,385.0,4.0,3710,Jackson Springs,,1037.7358490566,10377.358490566,2095606802.2608,479969.724586594
72,27282,1957.0,28.0,16597,Jamestown,,1179.12875820931,11791.2875820931,404066994.873657,168803.970950205
73,27283,418.0,5.0,2982,Julian,,1401.74379610999,14017.4379610999,711286368.914917,161239.518798817
74,27284,7583.0,104.0,56201,Kernersville,,1349.26424796712,13492.6424796712,2233069317.10205,420748.080109325
75,27288,3090.0,64.0,23585,Eden,,1310.15475938096,13101.5475938096,1951079100.05676,304615.616752016
76,27291,180.0,1.0,1538,Leasburg,,1170.3511053316,11703.511053316,1492904663.44434,314720.365319101
77,27292,6067.0,63.0,41465,Lexington,,1463.16170264078,14631.6170264078,4270233445.18579,407599.915340798
78,27295,6225.0,79.0,39191,Lexington,,1588.37488198821,15883.7488198821,3631502180.53174,466742.919509858
79,27298,1370.0,13.0,10440,Liberty,,1312.26053639847,13122.6053639847,2639148530.03284,431527.987760386
80,27299,964.0,10.0,5254,Linwood,,1834.79253901789,18347.9253901789,822543412.257813,203597.604040365
81,27301,1523.0,22.0,10019,Mc Leansville,,1520.11178760355,15201.1178760355,900133716.655151,287107.537324028
82,27302,3964.0,27.0,32302,Mebane,,1227.16859637174,12271.6859637174,3198656461.27478,644303.59427532
83,27305,213.0,1.0,1585,Milton,,1343.84858044164,13438.4858044164,687167820.539429,263836.485514183
84,27306,1000.0,21.0,5945,Mount Gilead,,1682.08578637511,16820.8578637511,5305900334.83325,426306.558627535
