OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,RatePer10K,properties.RatePer100K,Shape__Area,Shape__Length
1,27006,1240.0,7.0,14872,Advance,,833.781603012372,8337.81603012372,1744189234.37061,355282.663136038
2,27007,212.0,0.0,2136,Ararat,,992.50936329588,9925.0936329588,592499585.594238,195922.003442792
3,27009,274.0,1.0,2937,Belews Creek,,932.924753149472,9329.24753149472,618093097.011353,191244.647442635
4,27011,529.0,7.0,5411,Boonville,,977.638144520421,9776.38144520421,1489580093.86462,316910.589814884
5,27012,2689.0,49.0,28954,Clemmons,,928.714512675278,9287.14512675278,1176567385.86804,255774.303165276
6,27013,596.0,7.0,6495,Cleveland,,917.628945342571,9176.28945342571,2066336247.98627,379169.285246239
7,27014,74.0,1.0,957,Cooleemee,,773.24973876698,7732.4973876698,21479098.032959,22299.1178929161
8,27016,147.0,2.0,1682,Danbury,,873.959571938169,8739.59571938169,1068209590.0686,211061.413302457
9,27017,1054.0,11.0,9499,Dobson,,1109.59048320876,11095.9048320876,2962951682.04883,566348.974052304
10,27018,686.0,5.0,8221,East Bend,,834.448363945992,8344.48363945992,2331567909.96985,255811.974556888
11,27019,316.0,1.0,4234,Germanton,,746.33915918753,7463.3915918753,977414017.819214,270248.259734795
12,27020,663.0,5.0,6104,Hamptonville,,1086.17300131062,10861.7300131062,2114111622.36755,316969.486887135
13,27021,1661.0,44.0,17979,King,,923.855609321987,9238.55609321987,1469376476.14172,210392.900707099
14,27022,88.0,2.0,1512,Lawsonville,,582.010582010582,5820.10582010582,918745327.278442,200803.000966771
15,27023,962.0,3.0,12775,Lewisville,,753.033268101761,7530.33268101761,807172159.002075,183078.980128527
16,27024,272.0,3.0,2683,Lowgap,,1013.79053298546,10137.9053298546,1265827411.39758,278411.484773322
17,27025,977.0,8.0,11117,Madison,,878.834217864532,8788.34217864532,2714649364.33142,468723.596670606
18,27027,349.0,16.0,4017,Mayodan,,868.807567836694,8688.07567836694,548179131.574585,172371.363079245
