OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,RatePer10K,properties.RatePer100K,Shape__Area,Shape__Length
1,27006,755.0,3.0,14872,Advance,,507.665411511565,5076.65411511565,1744189234.37061,355282.663136038
2,27007,146.0,0.0,2136,Ararat,,683.520599250936,6835.20599250936,592499585.594238,195922.003442792
3,27009,172.0,1.0,2937,Belews Creek,,585.631596867552,5856.31596867552,618093097.011353,191244.647442635
4,27011,372.0,4.0,5411,Boonville,,687.488449454814,6874.88449454814,1489580093.86462,316910.589814884
5,27012,1853.0,27.0,28954,Clemmons,,639.980658976307,6399.80658976307,1176567385.86804,255774.303165276
6,27013,368.0,5.0,6495,Cleveland,,566.589684372594,5665.89684372594,2066336247.98627,379169.285246239
7,27014,46.0,0.0,957,Cooleemee,,480.668756530825,4806.68756530826,21479098.032959,22299.1178929161
8,27016,96.0,0.0,1682,Danbury,,570.749108204518,5707.49108204518,1068209590.0686,211061.413302457
9,27017,742.0,4.0,9499,Dobson,,781.134856300663,7811.34856300663,2962951682.04883,566348.974052304
10,27018,496.0,4.0,8221,East Bend,,603.332927867656,6033.32927867656,2331567909.96985,255811.974556888
11,27019,209.0,1.0,4234,Germanton,,493.623051487955,4936.23051487955,977414017.819214,270248.259734795
12,27020,486.0,4.0,6104,Hamptonville,,796.199213630406,7961.99213630406,2114111622.36755,316969.486887135
13,27021,994.0,25.0,17979,King,,552.867233995217,5528.67233995217,1469376476.14172,210392.900707099
14,27022,63.0,1.0,1512,Lawsonville,,416.666666666667,4166.66666666667,918745327.278442,200803.000966771
15,27023,683.0,2.0,12775,Lewisville,,534.637964774951,5346.37964774951,807172159.002075,183078.980128527
16,27024,186.0,3.0,2683,Lowgap,,693.253820350354,6932.53820350354,1265827411.39758,278411.484773322
17,27025,769.0,3.0,11117,Madison,,691.733381307907,6917.33381307907,2714649364.33142,468723.596670606
18,27027,276.0,1.0,4017,Mayodan,,687.079910380881,6870.79910380881,548179131.574585,172371.363079245
19,27028,1709.0,11.0,28039,Mocksville,,609.508185027997,6095.08185027997,5475621774.30664,567238.136149725
20,27030,2709.0,54.0,37641,Mount Airy,,719.693950745198,7196.93950745198,4824085732.75671,624989.724929863
21,27040,646.0,3.0,13150,Pfafftown,,491.254752851711,4912.54752851711,763349953.536133,205025.773716105
22,27041,439.0,5.0,8020,Pilot Mountain,,547.381546134663,5473.81546134663,1629462738.40637,324677.141569035
