OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,RatePer10K,properties.RatePer100K,Shape__Area,Shape__Length
1,27006,1330.0,7.0,14872,Advance,,894.298009682625,8942.98009682625,1744189234.37061,355282.663136038
2,27007,222.0,0.0,2136,Ararat,,1039.32584269663,10393.2584269663,592499585.594238,195922.003442792
3,27009,304.0,2.0,2937,Belews Creek,,1035.06979911474,10350.6979911474,618093097.011353,191244.647442635
4,27011,545.0,7.0,5411,Boonville,,1007.2075401959,10072.075401959,1489580093.86462,316910.589814884
5,27012,2849.0,51.0,28954,Clemmons,,983.974580368861,9839.74580368861,1176567385.86804,255774.303165276
6,27013,643.0,8.0,6495,Cleveland,,989.992301770593,9899.92301770593,2066336247.98627,379169.285246239
7,27014,88.0,2.0,957,Cooleemee,,919.540229885057,9195.40229885057,21479098.032959,22299.1178929161
8,27016,163.0,2.0,1682,Danbury,,969.084423305589,9690.84423305589,1068209590.0686,211061.413302457
9,27017,1096.0,14.0,9499,Dobson,,1153.80566375408,11538.0566375408,2962951682.04883,566348.974052304
10,27018,713.0,6.0,8221,East Bend,,867.291083809756,8672.91083809756,2331567909.96985,255811.974556888
11,27019,345.0,1.0,4234,Germanton,,814.832309872461,8148.32309872461,977414017.819214,270248.259734795
12,27020,704.0,7.0,6104,Hamptonville,,1153.34207077326,11533.4207077326,2114111622.36755,316969.486887135
13,27021,1803.0,47.0,17979,King,,1002.83664274987,10028.3664274987,1469376476.14172,210392.900707099
14,27022,99.0,2.0,1512,Lawsonville,,654.761904761905,6547.61904761905,918745327.278442,200803.000966771
15,27023,1025.0,4.0,12775,Lewisville,,802.348336594912,8023.48336594912,807172159.002075,183078.980128527
16,27024,283.0,3.0,2683,Lowgap,,1054.78941483414,10547.8941483414,1265827411.39758,278411.484773322
17,27025,1021.0,28.0,11117,Madison,,918.413240982279,9184.13240982279,2714649364.33142,468723.596670606
18,27027,363.0,18.0,4017,Mayodan,,903.659447348768,9036.59447348768,548179131.574585,172371.363079245
19,27028,2776.0,30.0,28039,Mocksville,,990.04957380791,9900.4957380791,5475621774.30664,567238.136149725
20,27030,4425.0,103.0,37641,Mount Airy,,1175.57981987726,11755.7981987726,4824085732.75671,624989.724929863
21,27040,1032.0,10.0,13150,Pfafftown,,784.790874524715,7847.90874524715,763349953.536133,205025.773716105
22,27041,739.0,8.0,8020,Pilot Mountain,,921.4463840399,9214.463840399,1629462738.40637,324677.141569035
23,27042,70.0,2.0,720,Pine Hall,,972.222222222222,9722.22222222222,290758639.069458,113971.243586081
24,27043,528.0,6.0,6442,Pinnacle,,819.621235641105,8196.21235641105,1935795027.06067,395674.180712496
25,27045,1032.0,9.0,9583,Rural Hall,,1076.90702285297,10769.0702285297,666085549.25769,154538.589918543
26,27046,154.0,1.0,1953,Sandy Ridge,,788.530465949821,7885.30465949821,1237681699.0647,217125.573744555
27,27047,117.0,2.0,1279,Siloam,,914.7771696638,9147.771696638,576295820.815674,144984.839113672
28,27048,741.0,9.0,8902,Stoneville,,832.397214109189,8323.97214109189,2355000804.03674,325454.766660313
29,27050,330.0,4.0,4084,Tobaccoville,,808.031341821743,8080.31341821743,703876500.567505,219088.1792708
30,27051,725.0,6.0,8287,Walkertown,,874.86424520333,8748.6424520333,524680317.775635,151066.808563308
31,27052,991.0,23.0,10061,Walnut Cove,,984.991551535633,9849.91551535633,2710320219.82117,403203.611044297
32,27053,202.0,2.0,3156,Westfield,,640.050697084918,6400.50697084918,2152815477.55933,413464.446930882
33,27054,306.0,5.0,2608,Woodleaf,,1173.31288343558,11733.1288343558,778193820.583862,201172.963339102
34,27055,1766.0,29.0,14521,Yadkinville,,1216.16968528338,12161.6968528338,3115987965.39453,403366.49229781
35,27101,1845.0,38.0,24321,Winston Salem,,758.603675835698,7586.03675835698,356085731.400146,162957.922513793
36,27103,3105.0,42.0,36071,Winston Salem,,860.802306562058,8608.02306562058,527249856.672729,146399.561156354
37,27104,2562.0,37.0,29383,Winston Salem,,871.932750229725,8719.32750229725,337669863.683838,130394.134288752
38,27105,4114.0,42.0,40186,Winston Salem,,1023.73961080973,10237.3961080973,950547784.577881,208375.813794777
39,27106,4455.0,58.0,51378,Winston Salem,,867.102650940091,8671.02650940091,787324720.967285,203893.681115083
40,27107,5093.0,47.0,52432,Winston Salem,,971.353371986573,9713.53371986573,1859279716.41162,319111.813640457
41,27127,4006.0,26.0,38510,Winston Salem,,1040.24928589977,10402.4928589977,820319160.873047,213438.375685158
42,27157,45.0,0.0,5,Winston Salem,,,,827769.094482422,4216.57245655308
