OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,RatePer10K,Shape__Area,Shape__Length
1,27006,180.0,3.0,14872,Advance,,121.032813340506,1744189234.37061,355282.663136038
2,27007,40.0,0.0,2136,Ararat,,187.265917602996,592499585.594238,195922.003442792
3,27009,32.0,0.0,2937,Belews Creek,,108.954715696289,618093097.011353,191244.647442635
4,27011,108.0,1.0,5411,Boonville,,199.593420809462,1489580093.86462,316910.589814884
5,27012,549.0,14.0,28954,Clemmons,,189.611107273606,1176567385.86804,255774.303165276
6,27013,129.0,4.0,6495,Cleveland,,198.614318706697,2066336247.98627,379169.285246239
7,27014,10.0,0.0,957,Cooleemee,,104.493207941484,21479098.032959,22299.1178929161
8,27016,23.0,0.0,1682,Danbury,,136.741973840666,1068209590.0686,211061.413302457
9,27017,294.0,1.0,9499,Dobson,,309.506263817244,2962951682.04883,566348.974052304
10,27018,157.0,2.0,8221,East Bend,,190.974334022625,2331567909.96985,255811.974556888
11,27019,53.0,1.0,4234,Germanton,,125.177137458668,977414017.819214,270248.259734795
12,27020,177.0,2.0,6104,Hamptonville,,289.97378768021,2114111622.36755,316969.486887135
13,27021,246.0,1.0,17979,King,,136.826297346905,1469376476.14172,210392.900707099
14,27022,21.0,0.0,1512,Lawsonville,,138.888888888889,918745327.278442,200803.000966771
15,27023,203.0,2.0,12775,Lewisville,,158.904109589041,807172159.002075,183078.980128527
16,27024,34.0,1.0,2683,Lowgap,,126.723816623183,1265827411.39758,278411.484773322
17,27025,345.0,2.0,11117,Madison,,310.335522173248,2714649364.33142,468723.596670606
18,27027,82.0,0.0,4017,Mayodan,,204.132437142146,548179131.574585,172371.363079245
19,27028,563.0,5.0,28039,Mocksville,,200.791754342166,5475621774.30664,567238.136149725
20,27030,886.0,14.0,37641,Mount Airy,,235.381631731357,4824085732.75671,624989.724929863
21,27040,153.0,1.0,13150,Pfafftown,,116.349809885932,763349953.536133,205025.773716105
22,27041,109.0,0.0,8020,Pilot Mountain,,135.910224438903,1629462738.40637,324677.141569035
23,27042,18.0,1.0,720,Pine Hall,,250.0,290758639.069458,113971.243586081
24,27043,104.0,1.0,6442,Pinnacle,,161.440546414157,1935795027.06067,395674.180712496
25,27045,215.0,3.0,9583,Rural Hall,,224.355629761035,666085549.25769,154538.589918543
26,27046,31.0,1.0,1953,Sandy Ridge,,158.730158730159,1237681699.0647,217125.573744555
27,27047,18.0,0.0,1279,Siloam,,140.734949179046,576295820.815674,144984.839113672
28,27048,184.0,1.0,8902,Stoneville,,206.695124691081,2355000804.03674,325454.766660313
29,27050,55.0,1.0,4084,Tobaccoville,,134.671890303624,703876500.567505,219088.1792708
30,27051,139.0,2.0,8287,Walkertown,,167.732593218294,524680317.775635,151066.808563308
31,27052,174.0,3.0,10061,Walnut Cove,,172.945035284763,2710320219.82117,403203.611044297
32,27053,23.0,1.0,3156,Westfield,,72.8770595690748,2152815477.55933,413464.446930882
33,27054,58.0,0.0,2608,Woodleaf,,222.39263803681,778193820.583862,201172.963339102
34,27055,437.0,2.0,14521,Yadkinville,,300.943461194133,3115987965.39453,403366.49229781
35,27101,393.0,14.0,24321,Winston Salem,,161.588750462563,356085731.400146,162957.922513793
36,27103,770.0,17.0,36071,Winston Salem,,213.467882786726,527249856.672729,146399.561156354
37,27104,570.0,11.0,29383,Winston Salem,,193.989721948065,337669863.683838,130394.134288752
