OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,RatePer10K,properties.RatePer100K,Shape__Area,Shape__Length
1,27006,1367.0,8.0,14872,Advance,,919.176976869285,9191.76976869285,1744189234.37061,355282.663136038
2,27007,228.0,1.0,2136,Ararat,,1067.41573033708,10674.1573033708,592499585.594238,195922.003442792
3,27009,311.0,2.0,2937,Belews Creek,,1058.90364317331,10589.0364317331,618093097.011353,191244.647442635
4,27011,560.0,7.0,5411,Boonville,,1034.92884864166,10349.2884864166,1489580093.86462,316910.589814884
5,27012,2938.0,51.0,28954,Clemmons,,1014.71299302342,10147.1299302342,1176567385.86804,255774.303165276
6,27013,654.0,8.0,6495,Cleveland,,1006.92840646651,10069.2840646651,2066336247.98627,379169.285246239
7,27014,88.0,2.0,957,Cooleemee,,919.540229885057,9195.40229885057,21479098.032959,22299.1178929161
8,27016,172.0,2.0,1682,Danbury,,1022.59215219976,10225.9215219976,1068209590.0686,211061.413302457
9,27017,1119.0,14.0,9499,Dobson,,1178.01873881461,11780.1873881461,2962951682.04883,566348.974052304
10,27018,720.0,6.0,8221,East Bend,,875.805863033694,8758.05863033694,2331567909.96985,255811.974556888
11,27019,353.0,1.0,4234,Germanton,,833.726972130373,8337.26972130373,977414017.819214,270248.259734795
12,27020,743.0,7.0,6104,Hamptonville,,1217.23460026212,12172.3460026212,2114111622.36755,316969.486887135
13,27021,1844.0,47.0,17979,King,,1025.64102564103,10256.4102564103,1469376476.14172,210392.900707099
14,27022,99.0,2.0,1512,Lawsonville,,654.761904761905,6547.61904761905,918745327.278442,200803.000966771
15,27023,1058.0,4.0,12775,Lewisville,,828.180039138943,8281.80039138943,807172159.002075,183078.980128527
16,27024,294.0,3.0,2683,Lowgap,,1095.78829668282,10957.8829668282,1265827411.39758,278411.484773322
17,27025,1034.0,30.0,11117,Madison,,930.107043267068,9301.07043267068,2714649364.33142,468723.596670606
18,27027,368.0,18.0,4017,Mayodan,,916.106547174508,9161.06547174508,548179131.574585,172371.363079245
19,27028,2829.0,32.0,28039,Mocksville,,1008.95181711188,10089.5181711188,5475621774.30664,567238.136149725
20,27030,4511.0,104.0,37641,Mount Airy,,1198.42724688505,11984.2724688505,4824085732.75671,624989.724929863
21,27040,1045.0,10.0,13150,Pfafftown,,794.67680608365,7946.7680608365,763349953.536133,205025.773716105
22,27041,753.0,8.0,8020,Pilot Mountain,,938.902743142145,9389.02743142145,1629462738.40637,324677.141569035
23,27042,71.0,2.0,720,Pine Hall,,986.111111111111,9861.11111111111,290758639.069458,113971.243586081
24,27043,546.0,7.0,6442,Pinnacle,,847.562868674325,8475.62868674325,1935795027.06067,395674.180712496
25,27045,1065.0,9.0,9583,Rural Hall,,1111.3430032349,11113.430032349,666085549.25769,154538.589918543
26,27046,155.0,1.0,1953,Sandy Ridge,,793.650793650794,7936.50793650794,1237681699.0647,217125.573744555
27,27047,125.0,2.0,1279,Siloam,,977.326035965598,9773.26035965598,576295820.815674,144984.839113672
28,27048,767.0,10.0,8902,Stoneville,,861.604133902494,8616.04133902494,2355000804.03674,325454.766660313
29,27050,336.0,4.0,4084,Tobaccoville,,822.722820763957,8227.22820763957,703876500.567505,219088.1792708
30,27051,744.0,6.0,8287,Walkertown,,897.791721974176,8977.91721974176,524680317.775635,151066.808563308
31,27052,1018.0,23.0,10061,Walnut Cove,,1011.8278501143,10118.278501143,2710320219.82117,403203.611044297
32,27053,207.0,2.0,3156,Westfield,,655.893536121673,6558.93536121673,2152815477.55933,413464.446930882
33,27054,307.0,5.0,2608,Woodleaf,,1177.1472392638,11771.472392638,778193820.583862,201172.963339102
34,27055,1795.0,29.0,14521,Yadkinville,,1236.14076165553,12361.4076165553,3115987965.39453,403366.49229781
35,27101,1873.0,38.0,24321,Winston Salem,,770.116360347025,7701.16360347025,356085731.400146,162957.922513793
36,27103,3169.0,42.0,36071,Winston Salem,,878.545091624851,8785.45091624851,527249856.672729,146399.561156354
37,27104,2611.0,39.0,29383,Winston Salem,,888.609059660348,8886.09059660348,337669863.683838,130394.134288752
38,27105,4157.0,43.0,40186,Winston Salem,,1034.43985467576,10344.3985467576,950547784.577881,208375.813794777
39,27106,4533.0,58.0,51378,Winston Salem,,882.284246175406,8822.84246175406,787324720.967285,203893.681115083
40,27107,5162.0,50.0,52432,Winston Salem,,984.513274336283,9845.13274336283,1859279716.41162,319111.813640457
41,27127,4077.0,28.0,38510,Winston Salem,,1058.68605556998,10586.8605556998,820319160.873047,213438.375685158
42,27157,45.0,0.0,5,Winston Salem,,,,827769.094482422,4216.57245655308
43,27203,2867.0,53.0,21876,Asheboro,,1310.56865971841,13105.6865971841,589408161.410522,188062.356665824
44,27205,3868.0,48.0,34549,Asheboro,,1119.56930736056,11195.6930736056,6255653514.79199,588011.232518038
45,27207,298.0,2.0,3806,Bear Creek,,782.974251182344,7829.74251182344,2300194678.82397,473699.237818467
