OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,RatePer10K,Shape__Area,Shape__Length
1,27006,156.0,3.0,14872,Advance,,104.895104895105,1744189234.37061,355282.663136038
2,27007,34.0,0.0,2136,Ararat,,159.176029962547,592499585.594238,195922.003442792
3,27009,19.0,0.0,2937,Belews Creek,,64.6918624446714,618093097.011353,191244.647442635
4,27011,98.0,1.0,5411,Boonville,,181.11254851229,1489580093.86462,316910.589814884
5,27012,498.0,13.0,28954,Clemmons,,171.996960696277,1176567385.86804,255774.303165276
6,27013,118.0,4.0,6495,Cleveland,,181.678214010778,2066336247.98627,379169.285246239
7,27014,10.0,0.0,957,Cooleemee,,104.493207941484,21479098.032959,22299.1178929161
8,27016,23.0,0.0,1682,Danbury,,136.741973840666,1068209590.0686,211061.413302457
9,27017,246.0,1.0,9499,Dobson,,258.974628908306,2962951682.04883,566348.974052304
10,27018,140.0,2.0,8221,East Bend,,170.295584478774,2331567909.96985,255811.974556888
11,27019,47.0,1.0,4234,Germanton,,111.006140765234,977414017.819214,270248.259734795
12,27020,156.0,2.0,6104,Hamptonville,,255.570117955439,2114111622.36755,316969.486887135
13,27021,219.0,1.0,17979,King,,121.808776906391,1469376476.14172,210392.900707099
14,27022,18.0,0.0,1512,Lawsonville,,119.047619047619,918745327.278442,200803.000966771
15,27023,186.0,1.0,12775,Lewisville,,145.59686888454,807172159.002075,183078.980128527
16,27024,28.0,1.0,2683,Lowgap,,104.360790160268,1265827411.39758,278411.484773322
17,27025,321.0,2.0,11117,Madison,,288.746964109022,2714649364.33142,468723.596670606
18,27027,72.0,0.0,4017,Mayodan,,179.238237490665,548179131.574585,172371.363079245
19,27028,516.0,3.0,28039,Mocksville,,184.029387638646,5475621774.30664,567238.136149725
20,27030,782.0,13.0,37641,Mount Airy,,207.752185117292,4824085732.75671,624989.724929863
21,27040,148.0,1.0,13150,Pfafftown,,112.54752851711,763349953.536133,205025.773716105
22,27041,95.0,0.0,8020,Pilot Mountain,,118.453865336658,1629462738.40637,324677.141569035
23,27042,18.0,1.0,720,Pine Hall,,250.0,290758639.069458,113971.243586081
24,27043,97.0,1.0,6442,Pinnacle,,150.574355790127,1935795027.06067,395674.180712496
25,27045,199.0,3.0,9583,Rural Hall,,207.659396848586,666085549.25769,154538.589918543
26,27046,25.0,1.0,1953,Sandy Ridge,,128.008192524322,1237681699.0647,217125.573744555
27,27047,13.0,0.0,1279,Siloam,,101.641907740422,576295820.815674,144984.839113672
