OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,RatePer10K,properties.RatePer100K,Shape__Area,Shape__Length
1,27006,744.0,3.0,14872,Advance,,500.268961807423,5002.68961807423,1744189234.37061,355282.663136038
2,27007,145.0,0.0,2136,Ararat,,678.838951310861,6788.38951310861,592499585.594238,195922.003442792
3,27009,169.0,1.0,2937,Belews Creek,,575.417092271025,5754.17092271025,618093097.011353,191244.647442635
4,27011,371.0,4.0,5411,Boonville,,685.640362225097,6856.40362225097,1489580093.86462,316910.589814884
5,27012,1831.0,27.0,28954,Clemmons,,632.38239966844,6323.8239966844,1176567385.86804,255774.303165276
6,27013,362.0,5.0,6495,Cleveland,,557.351809083911,5573.51809083911,2066336247.98627,379169.285246239
7,27014,46.0,0.0,957,Cooleemee,,480.668756530825,4806.68756530826,21479098.032959,22299.1178929161
8,27016,95.0,0.0,1682,Danbury,,564.803804994055,5648.03804994055,1068209590.0686,211061.413302457
9,27017,738.0,4.0,9499,Dobson,,776.923886724918,7769.23886724918,2962951682.04883,566348.974052304
10,27018,494.0,4.0,8221,East Bend,,600.900133803674,6009.00133803674,2331567909.96985,255811.974556888
11,27019,206.0,1.0,4234,Germanton,,486.537553141238,4865.37553141238,977414017.819214,270248.259734795
12,27020,479.0,4.0,6104,Hamptonville,,784.731323722149,7847.31323722149,2114111622.36755,316969.486887135
13,27021,976.0,23.0,17979,King,,542.855553701541,5428.55553701541,1469376476.14172,210392.900707099
14,27022,62.0,1.0,1512,Lawsonville,,410.05291005291,4100.5291005291,918745327.278442,200803.000966771
15,27023,679.0,2.0,12775,Lewisville,,531.506849315069,5315.06849315068,807172159.002075,183078.980128527
16,27024,185.0,3.0,2683,Lowgap,,689.526649273202,6895.26649273202,1265827411.39758,278411.484773322
17,27025,769.0,3.0,11117,Madison,,691.733381307907,6917.33381307907,2714649364.33142,468723.596670606
18,27027,276.0,1.0,4017,Mayodan,,687.079910380881,6870.79910380881,548179131.574585,172371.363079245
19,27028,1684.0,11.0,28039,Mocksville,,600.592032526124,6005.92032526124,5475621774.30664,567238.136149725
20,27030,2691.0,54.0,37641,Mount Airy,,714.911931138918,7149.11931138918,4824085732.75671,624989.724929863
21,27040,637.0,3.0,13150,Pfafftown,,484.410646387833,4844.10646387833,763349953.536133,205025.773716105
22,27041,436.0,5.0,8020,Pilot Mountain,,543.640897755611,5436.40897755611,1629462738.40637,324677.141569035
23,27042,55.0,1.0,720,Pine Hall,,763.888888888889,7638.88888888889,290758639.069458,113971.243586081
24,27043,354.0,5.0,6442,Pinnacle,,549.51878298665,5495.1878298665,1935795027.06067,395674.180712496
25,27045,633.0,5.0,9583,Rural Hall,,660.544714598769,6605.44714598769,666085549.25769,154538.589918543
26,27046,101.0,1.0,1953,Sandy Ridge,,517.153097798259,5171.53097798259,1237681699.0647,217125.573744555
27,27047,78.0,0.0,1279,Siloam,,609.851446442533,6098.51446442533,576295820.815674,144984.839113672
28,27048,500.0,2.0,8902,Stoneville,,561.671534486632,5616.71534486632,2355000804.03674,325454.766660313
29,27050,198.0,2.0,4084,Tobaccoville,,484.818805093046,4848.18805093046,703876500.567505,219088.1792708
30,27051,475.0,4.0,8287,Walkertown,,573.186919271148,5731.86919271148,524680317.775635,151066.808563308
31,27052,537.0,10.0,10061,Walnut Cove,,533.744160620217,5337.44160620217,2710320219.82117,403203.611044297
32,27053,109.0,1.0,3156,Westfield,,345.373891001267,3453.73891001267,2152815477.55933,413464.446930882
33,27054,173.0,2.0,2608,Woodleaf,,663.343558282209,6633.43558282209,778193820.583862,201172.963339102
34,27055,1193.0,12.0,14521,Yadkinville,,821.568762481923,8215.68762481923,3115987965.39453,403366.49229781
35,27101,1163.0,28.0,24321,Winston Salem,,478.187574524074,4781.87574524074,356085731.400146,162957.922513793
36,27103,2025.0,20.0,36071,Winston Salem,,561.392808627429,5613.92808627429,527249856.672729,146399.561156354
