OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,RatePer10K,properties.RatePer100K,Shape__Area,Shape__Length
1,27006,2191.0,18.0,14872,Advance,,1473.23830016138,14732.3830016138,1744189234.37061,355282.663136038
2,27007,373.0,3.0,2136,Ararat,,1746.25468164794,17462.5468164794,592499585.594238,195922.003442792
3,27009,480.0,6.0,2937,Belews Creek,,1634.32073544433,16343.2073544433,618093097.011353,191244.647442635
4,27011,942.0,10.0,5411,Boonville,,1740.89817039364,17408.9817039364,1489580093.86462,316910.589814884
5,27012,4374.0,67.0,28954,Clemmons,,1510.67210057332,15106.7210057332,1176567385.86804,255774.303165276
6,27013,1116.0,13.0,6495,Cleveland,,1718.24480369515,17182.4480369515,2066336247.98627,379169.285246239
7,27014,194.0,6.0,957,Cooleemee,,2027.16823406479,20271.6823406479,21479098.032959,22299.1178929161
8,27016,320.0,4.0,1682,Danbury,,1902.49702734839,19024.9702734839,1068209590.0686,211061.413302457
9,27017,1829.0,23.0,9499,Dobson,,1925.46583850932,19254.6583850932,2962951682.04883,566348.974052303
10,27018,1263.0,11.0,8221,East Bend,,1536.30945140494,15363.0945140494,2331567909.96985,255811.974556888
11,27019,583.0,5.0,4234,Germanton,,1376.94851204535,13769.4851204535,977414017.819214,270248.259734795
12,27020,1163.0,11.0,6104,Hamptonville,,1905.30799475754,19053.0799475754,2114111622.36755,316969.486887135
13,27021,2979.0,59.0,17979,King,,1656.93308860337,16569.3308860337,1469376476.14172,210392.900707099
14,27022,190.0,3.0,1512,Lawsonville,,1256.61375661376,12566.1375661376,918745327.278442,200803.000966771
15,27023,1652.0,8.0,12775,Lewisville,,1293.15068493151,12931.5068493151,807172159.002075,183078.980128526
16,27024,479.0,5.0,2683,Lowgap,,1785.31494595602,17853.1494595602,1265827411.39758,278411.484773322
17,27025,1656.0,36.0,11117,Madison,,1489.61050643159,14896.1050643159,2714649364.33142,468723.596670607
18,27027,558.0,19.0,4017,Mayodan,,1389.09634055265,13890.9634055265,548179131.574585,172371.363079245
19,27028,4808.0,57.0,28039,Mocksville,,1714.7544491601,17147.544491601,5475621774.30664,567238.136149726
20,27030,7185.0,154.0,37641,Mount Airy,,1908.82282617359,19088.2282617359,4824085732.75671,624989.724929864
21,27040,1670.0,13.0,13150,Pfafftown,,1269.96197718631,12699.6197718631,763349953.536133,205025.773716105
22,27041,1350.0,11.0,8020,Pilot Mountain,,1683.29177057357,16832.9177057357,1629462738.40637,324677.141569035
23,27042,101.0,2.0,720,Pine Hall,,1402.77777777778,14027.7777777778,290758639.069458,113971.243586081
24,27043,1016.0,13.0,6442,Pinnacle,,1577.14995343061,15771.4995343061,1935795027.06067,395674.180712495
25,27045,1639.0,14.0,9583,Rural Hall,,1710.32035896901,17103.2035896901,666085549.25769,154538.589918543
26,27046,288.0,5.0,1953,Sandy Ridge,,1474.65437788018,14746.5437788018,1237681699.0647,217125.573744555
27,27047,197.0,2.0,1279,Siloam,,1540.26583268178,15402.6583268178,576295820.815674,144984.839113672
28,27048,1256.0,18.0,8902,Stoneville,,1410.91889463042,14109.1889463042,2355000804.03674,325454.766660312
29,27050,606.0,7.0,4084,Tobaccoville,,1483.83937316357,14838.3937316357,703876500.567505,219088.1792708
30,27051,1239.0,13.0,8287,Walkertown,,1495.1128273199,14951.128273199,524680317.775635,151066.808563308
31,27052,1601.0,30.0,10061,Walnut Cove,,1591.2931120167,15912.931120167,2710320219.82117,403203.611044297
32,27053,431.0,5.0,3156,Westfield,,1365.65272496831,13656.5272496831,2152815477.55933,413464.446930883
33,27054,512.0,11.0,2608,Woodleaf,,1963.19018404908,19631.9018404908,778193820.583862,201172.963339102
34,27055,2795.0,38.0,14521,Yadkinville,,1924.79856759176,19247.9856759176,3115987965.39453,403366.492297811
35,27101,2852.0,52.0,24321,Winston Salem,,1172.64915093952,11726.4915093952,356085731.400146,162957.922513792
36,27103,4878.0,51.0,36071,Winston Salem,,1352.33289900474,13523.3289900474,527249856.672729,146399.561156354
37,27104,3765.0,45.0,29383,Winston Salem,,1281.3531633938,12813.531633938,337669863.683838,130394.134288752
38,27105,6292.0,61.0,40186,Winston Salem,,1565.71940476783,15657.1940476783,950547784.577881,208375.813794777
39,27106,6415.0,69.0,51378,Winston Salem,,1248.58889018646,12485.8889018646,787324720.967285,203893.681115083
40,27107,7978.0,78.0,52432,Winston Salem,,1521.58986878242,15215.8986878242,1859279716.41162,319111.813640457
41,27127,6064.0,37.0,38510,Winston Salem,,1574.65593352376,15746.5593352376,820319160.873047,213438.375685158
42,27157,97.0,0.0,5,Winston Salem,,,,827769.094482422,4216.57245655308
43,27203,3925.0,63.0,21876,Asheboro,,1794.20369354544,17942.0369354544,589408161.410522,188062.356665824
44,27205,5724.0,62.0,34549,Asheboro,,1656.77733074763,16567.7733074763,6255653514.79199,588011.232518038
45,27207,529.0,2.0,3806,Bear Creek,,1389.91066736731,13899.1066736731,2300194678.82397,473699.237818466
46,27208,254.0,4.0,1691,Bennett,,1502.06978119456,15020.6978119456,1029479783.1405,215638.108979383
47,27209,918.0,44.0,4151,Biscoe,,2211.51529751867,22115.1529751867,1198089302.20734,259108.004034657
48,27212,425.0,1.0,1600,Blanch,,2656.25,26562.5,1328181375.12305,277007.399750669
49,27214,1699.0,17.0,11747,Browns Summit,,1446.32672171618,14463.2672171618,1414533235.94788,324969.09283087
50,27215,7218.0,100.0,44892,Burlington,,1607.85886126704,16078.5886126704,1827823774.30115,298200.358945539
51,27217,7561.0,121.0,39111,Burlington,,1933.21571936284,19332.1571936284,3473433663.33496,513818.514768521
52,27229,744.0,18.0,4014,Candor,,1853.51270553064,18535.1270553064,2747739848.89313,367384.611313313
